burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
7500,1250.0B,15608.004459429847,18,0.0,0.0,-0.9914086524672328,0.9914086524672328,9920.72,1816712.0349748412,1.0
7500,5000.0B,1348681.6755573116,108,0.018867924528301886,0.018867924528301886,0.09215457422665231,0.09215457422665231,1224510.0,1234881.6801067784,1.0
37500,100000.0B,1966425.0881051985,80,0.012658227848101266,0.012658227848101266,-0.027277147367583278,0.027277147367583278,1864170.0,2021567.6878399535,1.0
150000,500000.0B,1987327.9588539298,27,0.0,0.0,-0.052223453076831655,0.052223453076831655,2263740.0,2096831.7535452086,1.0
37500,6250.0B,1515236.922930621,197,0.026041666666666668,0.026041666666666668,-0.025801519315355424,0.025801519315355424,1405520.0,1555367.7746096945,1.0
1500,1250.0B,6405.716115918891,25,0.0,0.0,-0.9887099673926655,0.9887099673926655,4117.48,567377.9995779176,1.0
150000,6250.0B,1830139.6177183995,541,0.0,0.0,0.007812167579252428,0.007812167579252428,1733580.0,1815953.0878798214,1.0
37500,25000.0B,1919940.9533989972,130,0.007751937984496124,0.007751937984496124,-0.01514282753205205,0.01514282753205205,1768810.0,1949461.3097936101,1.0
750,500000.0B,0.0,24,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
7500,15000.0B,1882416.2071298892,110,0.0,0.0,-0.002480963623082693,0.002480963623082693,1709290.0,1887098.0286922657,1.0
750,50000.0B,0.0,24,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
750,500.0B,1345.1432414694975,21,0.0,0.0,-0.997129663215479,0.997129663215479,926.126,468636.0320933625,1.0
7500,500000.0B,0.0,0,0.0,0.0,1.0,1.0,2145350.0,2001716.4772909717,1.0
150000,50000.0B,1954832.2072184656,401,0.0025,0.0025,0.014655793958221749,0.014655793958221749,1897030.0,1926596.4072334026,1.0
37500,125000.0B,2006672.7657968039,30,0.0,0.0,0.00274107984907988,0.00274107984907988,1884630.0,2001187.3514734465,1.0
1500,500.0B,1858.2862452246416,22,0.0,0.0,-0.9972231534330117,0.9972231534330117,1249.73,669207.3906121858,1.0
750,150000.0B,0.0,24,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
750,1250.0B,1276.5717933062267,22,0.047619047619047616,0.047619047619047616,-0.9971738263645336,0.9971738263645336,882.883,451696.16519174044,1.0
1500,6250.0B,1541787.1836851356,93,0.02197802197802198,0.02197802197802198,0.10134064756126195,0.10134064756126195,1396380.0,1399918.5330162563,1.0
750,15000.0B,0.0,24,3.8,3.8,-1.0,1.0,77.8378,43180.568744065175,1.0
750,7500.0B,0.0,24,0.5,0.5,-1.0,1.0,77.8378,43180.568744065175,1.0
750,175000.0B,0.0,24,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
150000,15000.0B,1650675.617937257,428,0.0,0.0,-0.08128710096844864,0.08128710096844864,1626550.0,1796726.289221904,1.0
150000,7500.0B,1822442.6127469342,466,0.0,0.0,-0.06182002035257053,0.06182002035257053,1758560.0,1942529.8474518855,1.0
7500,50000.0B,1997891.5062345245,52,0.0,0.0,-0.00011074077509185535,0.00011074077509185535,1833850.0,1998112.778792369,1.0
150000,250000.0B,1661670.7418545086,33,0.65,0.65,-0.21067793375766034,0.21067793375766034,2020620.0,2105187.23968416,1.0
150000,5000.0B,1567453.3782664326,473,0.0,0.0,0.0009462015561517757,0.0009462015561517757,1464130.0,1565971.6534510476,1.0
750,25000.0B,0.0,24,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
750,2500.0B,0.0,24,0.09090909090909091,0.09090909090909091,-1.0,1.0,77.8378,43180.568744065175,1.0
37500,10000.0B,1815747.4414888357,212,0.004739336492890996,0.004739336492890996,0.03544911420393569,0.03544911420393569,1651550.0,1753584.4268743247,1.0
37500,5000.0B,1466415.6952067614,186,0.010869565217391304,0.010869565217391304,0.04436995843371443,0.04436995843371443,1337540.0,1404115.1637548122,1.0
37500,500.0B,1858.2862452246416,22,0.0,0.0,-0.9972467303057885,0.9972467303057885,1249.73,674937.965260546,1.0
37500,2500.0B,962004.3351027243,162,0.0,0.0,0.030826067829349223,0.030826067829349223,891330.0,933236.3287324063,1.0
