burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
7500,1250.0B,,0,0,0,,,9920.72,2000000,1.0
7500,5000.0B,2107585.808320291,0,0,0,0.053792904160145434,0.053792904160145434,1224510.0,2000000,1.0
37500,100000.0B,2161319.786832015,0,0,0,0.08065989341600752,0.08065989341600752,1864170.0,2000000,1.0
150000,500000.0B,2231619.4683019104,0,0,0,0.11580973415095522,0.11580973415095522,2263740.0,2000000,1.0
37500,6250.0B,2490994.499759963,0,0,0,0.2454972498799814,0.2454972498799814,1405520.0,2000000,1.0
1500,1250.0B,,0,0,0,,,4117.48,2000000,1.0
150000,6250.0B,5320050.220326731,0,0,0,1.6600251101633654,1.6600251101633654,1733580.0,2000000,1.0
750,500000.0B,,0,0,0,,,77.8378,2000000,1.0
750,50000.0B,,0,0,0,,,77.8378,2000000,1.0
750,500.0B,,0,0,0,,,926.126,2000000,1.0
7500,500000.0B,2483725.240115872,0,0,0,0.24186262005793607,0.24186262005793607,2145350.0,2000000,1.0
150000,50000.0B,2055422.0037588459,0,0,0,0.027711001879422926,0.027711001879422926,1897030.0,2000000,1.0
37500,125000.0B,3998803.375676322,0,0,0,0.9994016878381609,0.9994016878381609,1884630.0,2000000,1.0
1500,500.0B,,0,0,0,,,1249.73,2000000,1.0
750,150000.0B,,0,0,0,,,77.8378,2000000,1.0
750,1250.0B,,0,0,0,,,882.883,2000000,1.0
1500,6250.0B,1966627.3370084472,0,0,0,-0.016686331495776422,0.016686331495776422,1396380.0,2000000,1.0
750,7500.0B,,0,0,0,,,77.8378,2000000,1.0
750,175000.0B,,0,0,0,,,77.8378,2000000,1.0
150000,7500.0B,3449770.723497712,0,0,0,0.724885361748856,0.724885361748856,1758560.0,2000000,1.0
7500,50000.0B,1878600.5209436247,0,0,0,-0.06069973952818767,0.06069973952818767,1833850.0,2000000,1.0
150000,250000.0B,2027470.5089369172,0,0,0,0.013735254468458588,0.013735254468458588,2020620.0,2000000,1.0
150000,5000.0B,5318181.92159166,0,0,0,1.65909096079583,1.65909096079583,1464130.0,2000000,1.0
750,2500.0B,,0,0,0,,,77.8378,2000000,1.0
37500,10000.0B,2356168.6282255678,0,0,0,0.1780843141127839,0.1780843141127839,1651550.0,2000000,1.0
37500,5000.0B,2688947.569241724,0,0,0,0.344473784620862,0.344473784620862,1337540.0,2000000,1.0
37500,500.0B,,0,0,0,,,1249.73,2000000,1.0
37500,2500.0B,3028238.3557357015,0,0,0,0.5141191778678508,0.5141191778678508,891330.0,2000000,1.0
37500,200000.0B,1885008.6503681443,0,0,0,-0.057495674815927864,0.057495674815927864,1913880.0,2000000,1.0
1500,3750.0B,2080568.0852025389,0,0,0,0.040284042601269436,0.040284042601269436,1004150.0,2000000,1.0
7500,100000.0B,2047403.0237236305,0,0,0,0.023701511861815235,0.023701511861815235,1858480.0,2000000,1.0
150000,10000.0B,3159978.0822136896,0,0,0,0.5799890411068448,0.5799890411068448,1608250.0,2000000,1.0
7500,6250.0B,1634169.5949646512,0,0,0,-0.18291520251767443,0.18291520251767443,1545770.0,2000000,1.0
150000,3750.0B,4958138.4909061985,0,0,0,1.4790692454530991,1.4790692454530991,1506400.0,2000000,1.0
750,100000.0B,,0,0,0,,,77.8378,2000000,1.0
1500,100000.0B,2103312.0263087023,0,0,0,0.05165601315435115,0.05165601315435115,1762250.0,2000000,1.0
150000,150000.0B,1980249.9569171576,0,0,0,-0.009875021541421185,0.009875021541421185,2076620.0,2000000,1.0
1500,8750.0B,2045658.3203498127,0,0,0,0.022829160174906372,0.022829160174906372,1534470.0,2000000,1.0
750,250000.0B,,0,0,0,,,77.8378,2000000,1.0
750,10000.0B,,0,0,0,,,77.8378,2000000,1.0
37500,175000.0B,1819021.105012618,0,0,0,-0.09048944749369099,0.09048944749369099,1902050.0,2000000,1.0
1500,125000.0B,2204155.5918268296,0,0,0,0.1020777959134148,0.1020777959134148,1782420.0,2000000,1.0
7500,500.0B,,0,0,0,,,1249.73,2000000,1.0
750,125000.0B,,0,0,0,,,77.8378,2000000,1.0
7500,125000.0B,1885823.52778225,0,0,0,-0.05708823610887502,0.05708823610887502,1857860.0,2000000,1.0
