burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
12000,250000.0B,1996674.2980161353,82,0.0,0.0,-0.0002457162739919099,0.0002457162739919099,1916430.0,1997165.0339668286,1.0
7500,1250.0B,15608.004459429847,18,0.0,0.0,-0.9914086524672328,0.9914086524672328,9920.72,1816712.0349748412,1.0
7500,5000.0B,1348681.6755573116,108,0.018867924528301886,0.018867924528301886,0.09215457422665231,0.09215457422665231,1224510.0,1234881.6801067784,1.0
37500,100000.0B,1966425.0881051985,80,0.012658227848101266,0.012658227848101266,-0.027277147367583278,0.027277147367583278,1864170.0,2021567.6878399535,1.0
150000,500000.0B,1987327.9588539298,27,0.0,0.0,-0.052223453076831655,0.052223453076831655,2263740.0,2096831.7535452086,1.0
37500,6250.0B,1515236.922930621,197,0.026041666666666668,0.026041666666666668,-0.025801519315355424,0.025801519315355424,1405520.0,1555367.7746096945,1.0
1500,1250.0B,6405.716115918891,25,0.0,0.0,-0.9887099673926655,0.9887099673926655,4117.48,567377.9995779176,1.0
150000,6250.0B,1830139.6177183995,541,0.0,0.0,0.007812167579252428,0.007812167579252428,1733580.0,1815953.0878798214,1.0
37500,25000.0B,1919940.9533989972,130,0.007751937984496124,0.007751937984496124,-0.01514282753205205,0.01514282753205205,1768810.0,1949461.3097936101,1.0
4500,25000.0B,1726215.3157360565,51,0.04081632653061224,0.04081632653061224,-0.005677220597773244,0.005677220597773244,1575160.0,1736071.3759105806,1.0
12000,50000.0B,1997891.5062345245,52,0.0,0.0,-0.0018729507332721875,0.0018729507332721875,1835950.0,2001640.4802397368,1.0
750,500000.0B,0.0,24,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
7500,15000.0B,1882416.2071298892,110,0.0,0.0,-0.002480963623082693,0.002480963623082693,1709290.0,1887098.0286922657,1.0
750,50000.0B,0.0,24,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
750,500.0B,1345.1432414694975,21,0.0,0.0,-0.997129663215479,0.997129663215479,926.126,468636.0320933625,1.0
12000,1500.0B,903085.248844593,126,0.024390243902439025,0.024390243902439025,-0.0094657284327631,0.0094657284327631,823537.0,911715.2982659743,1.0
7500,500000.0B,0.0,0,0.0,0.0,1.0,1.0,2145350.0,2001716.4772909717,1.0
150000,50000.0B,1954832.2072184656,401,0.0025,0.0025,0.014655793958221749,0.014655793958221749,1897030.0,1926596.4072334026,1.0
12000,10000.0B,1543084.248339877,120,0.02564102564102564,0.02564102564102564,-0.007218056300704015,0.007218056300704015,1406740.0,1554303.2970463273,1.0
4500,3750.0B,1242802.6922452222,120,0.034482758620689655,0.034482758620689655,0.0897842372145768,0.0897842372145768,1030870.0,1140411.6978437414,1.0
37500,125000.0B,2006672.7657968039,30,0.0,0.0,0.00274107984907988,0.00274107984907988,1884630.0,2001187.3514734465,1.0
1500,500.0B,1858.2862452246416,22,0.0,0.0,-0.9972231534330117,0.9972231534330117,1249.73,669207.3906121858,1.0
750,150000.0B,0.0,24,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
750,1250.0B,1276.5717933062267,22,0.047619047619047616,0.047619047619047616,-0.9971738263645336,0.9971738263645336,882.883,451696.16519174044,1.0
1500,6250.0B,1541787.1836851356,93,0.02197802197802198,0.02197802197802198,0.10134064756126195,0.10134064756126195,1396380.0,1399918.5330162563,1.0
12000,5000.0B,1095789.7970463184,88,0.0,0.0,0.08096117934312307,0.08096117934312307,964382.0,1013717.9928257982,1.0
750,15000.0B,0.0,24,3.8,3.8,-1.0,1.0,77.8378,43180.568744065175,1.0
750,7500.0B,0.0,24,0.5,0.5,-1.0,1.0,77.8378,43180.568744065175,1.0
12000,2500.0B,682202.3235899337,68,0.0,0.0,-0.030098479350514264,0.030098479350514264,635273.0,703372.7745195235,1.0
750,175000.0B,0.0,24,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
4500,125000.0B,1999999.9999999974,36,0.0,0.0,0.04382417979514561,0.04382417979514561,1787050.0,1916031.491426559,1.0
4500,10000.0B,1824782.52568617,121,0.008333333333333333,0.008333333333333333,-0.002594241962552936,0.002594241962552936,1657100.0,1829528.7659825797,1.0
4500,100000.0B,2009612.8097824706,31,0.0,0.0,0.05250898893500273,0.05250898893500273,1767020.0,1909354.533699449,1.0
150000,15000.0B,1650675.617937257,428,0.0,0.0,-0.08128710096844864,0.08128710096844864,1626550.0,1796726.289221904,1.0
12000,15000.0B,1733704.3496744998,112,0.009009009009009009,0.009009009009009009,0.014588765724069046,0.014588765724069046,1549300.0,1708775.4253194677,1.0
150000,7500.0B,1822442.6127469342,466,0.0,0.0,-0.06182002035257053,0.06182002035257053,1758560.0,1942529.8474518855,1.0
750,1500.0B,0.0,24,0.0,0.0,-1.0,1.0,77.8378,43180.568744065175,1.0
4500,175000.0B,2017348.1710067429,54,0.0,0.0,0.033815983057512655,0.033815983057512655,1839380.0,1951360.9811297674,1.0
7500,50000.0B,1997891.5062345245,52,0.0,0.0,-0.00011074077509185535,0.00011074077509185535,1833850.0,1998112.778792369,1.0
150000,250000.0B,1661670.7418545086,33,0.65,0.65,-0.21067793375766034,0.21067793375766034,2020620.0,2105187.23968416,1.0
4500,15000.0B,1751352.1689877508,44,0.047619047619047616,0.047619047619047616,-0.003856714733742007,0.003856714733742007,1593410.0,1758132.7856058718,1.0
1500,25000.0B,1719993.7400140485,51,0.04081632653061224,0.04081632653061224,-0.0038065617929652377,0.0038065617929652377,1565150.0,1726566.0202598015,1.0
150000,5000.0B,1567453.3782664326,473,0.0,0.0,0.0009462015561517757,0.0009462015561517757,1464130.0,1565971.6534510476,1.0
12000,8750.0B,1575298.6504160326,57,0.0,0.0,0.09594754472797451,0.09594754472797451,1432060.0,1437385.0810597308,1.0
1500,1500.0B,700030.8884378019,114,0.0,0.0,0.13188321770388214,0.13188321770388214,569309.0,618465.6486539944,1.0
750,25000.0B,0.0,24,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
4500,150000.0B,1995453.0271214438,38,0.0,0.0,0.04059279571488009,0.04059279571488009,1799150.0,1917611.8029440914,1.0
12000,25000.0B,1778320.224571099,45,0.022727272727272728,0.022727272727272728,-0.026711932217434172,0.026711932217434172,1663750.0,1827126.2984068338,1.0
4500,2500.0B,996192.2510630017,85,0.0,0.0,0.08820097817013575,0.08820097817013575,900374.0,915448.7737533086,1.0
750,2500.0B,0.0,24,0.09090909090909091,0.09090909090909091,-1.0,1.0,77.8378,43180.568744065175,1.0
37500,10000.0B,1815747.4414888357,212,0.004739336492890996,0.004739336492890996,0.03544911420393569,0.03544911420393569,1651550.0,1753584.4268743247,1.0
1500,8750.0B,1748631.5336238376,73,0.04285714285714286,0.04285714285714286,-0.00015617489100414834,0.00015617489100414834,1580830.0,1748904.668619836,1.0
37500,5000.0B,1466415.6952067614,186,0.010869565217391304,0.010869565217391304,0.04436995843371443,0.04436995843371443,1337540.0,1404115.1637548122,1.0
37500,500.0B,1858.2862452246416,22,0.0,0.0,-0.9972467303057885,0.9972467303057885,1249.73,674937.965260546,1.0
37500,2500.0B,962004.3351027243,162,0.0,0.0,0.030826067829349223,0.030826067829349223,891330.0,933236.3287324063,1.0
12000,15000.0B,1823480.8624021588,55,0.0784313725490196,0.0784313725490196,-0.008670558086047948,0.008670558086047948,1667890.0,1839429.7448500858,1.0
37500,200000.0B,1818364.3785817155,48,0.45454545454545453,0.45454545454545453,-0.10026291945308996,0.10026291945308996,1913880.0,2020995.2639457884,1.0
4500,250000.0B,1373554.0375379715,108,0.38461538461538464,0.38461538461538464,-0.31311206678732084,0.31311206678732084,1992580.0,1999677.052286609,1.0
1500,3750.0B,1211802.4694778395,91,0.011111111111111112,0.011111111111111112,0.09092692311553462,0.09092692311553462,1004150.0,1110800.7729950428,1.0
7500,100000.0B,1578911.3026136393,28,0.037037037037037035,0.037037037037037035,-0.20980728759989786,0.20980728759989786,1858480.0,1998134.4776237083,1.0
150000,10000.0B,1698578.253823002,474,0.0,0.0,-0.03597995982271367,0.03597995982271367,1608250.0,1761974.0078335179,1.0
7500,6250.0B,1703766.4089334393,126,0.024390243902439025,0.024390243902439025,-0.0028157158120406195,0.0028157158120406195,1545770.0,1708577.2769883487,1.0
150000,3750.0B,1627127.4122476128,468,0.0,0.0,0.02720019747570307,0.02720019747570307,1506400.0,1584041.1793593918,1.0
750,100000.0B,0.0,24,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
1500,100000.0B,2009612.8097824706,31,0.0,0.0,0.05571847216151602,0.05571847216151602,1762250.0,1903549.916738614,1.0
4500,5000.0B,1006380.4259216835,57,0.017857142857142856,0.017857142857142856,-0.02036920884614043,0.02036920884614043,928747.0,1027305.8329825636,1.0
12000,25000.0B,1833918.2210376514,102,0.009900990099009901,0.009900990099009901,0.007136358574085367,0.007136358574085367,1656510.0,1820923.458303236,1.0
12000,150000.0B,1992350.2163791722,33,0.0,0.0,0.015996910257799018,0.015996910257799018,1839880.0,1960980.5859287833,1.0
12000,5000.0B,1225206.9383755273,67,0.015151515151515152,0.015151515151515152,0.05049725087698398,0.05049725087698398,1070060.0,1166311.418095279,1.0
1500,6250.0B,1507288.0597547302,61,0.016666666666666666,0.016666666666666666,0.10469635536105211,0.10469635536105211,1233520.0,1364436.5281372704,1.0
150000,150000.0B,1920211.4705678087,202,0.5658914728682171,0.5658914728682171,-0.08822748821861706,0.08822748821861706,2076620.0,2106020.35678415,1.0
1500,8750.0B,1690550.823055755,109,0.05825242718446602,0.05825242718446602,-0.0037164194130199697,0.0037164194130199697,1534470.0,1696857.0555581513,1.0
12000,10000.0B,1478922.754741114,57,0.0,0.0,-0.007851566481694938,0.007851566481694938,1346750.0,1490626.5078670087,1.0
750,250000.0B,0.0,24,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
750,10000.0B,0.0,24,1.0,1.0,-1.0,1.0,77.8378,43180.568744065175,1.0
