burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
7500,1250.0B,,0,0,0,,,9920.72,2000000,1.0
7500,5000.0B,4399647.073708003,0,0,0,1.1998235368540018,1.1998235368540018,1224510.0,2000000,1.0
37500,100000.0B,6233765.521843646,0,0,0,2.116882760921823,2.116882760921823,1864170.0,2000000,1.0
150000,500000.0B,2021211.8182072323,0,0,0,0.01060590910361614,0.01060590910361614,2263740.0,2000000,1.0
37500,6250.0B,2797890.161236611,0,0,0,0.3989450806183056,0.3989450806183056,1405520.0,2000000,1.0
1500,1250.0B,,0,0,0,,,4117.48,2000000,1.0
150000,6250.0B,2485464.195798676,0,0,0,0.242732097899338,0.242732097899338,1733580.0,2000000,1.0
750,500000.0B,,0,0,0,,,77.8378,2000000,1.0
750,50000.0B,,0,0,0,,,77.8378,2000000,1.0
750,500.0B,,0,0,0,,,926.126,2000000,1.0
7500,500000.0B,2380960.1230113176,0,0,0,0.1904800615056588,0.1904800615056588,2145350.0,2000000,1.0
150000,50000.0B,2658379.140349172,0,0,0,0.32918957017458605,0.32918957017458605,1897030.0,2000000,1.0
37500,125000.0B,3294776.6208697795,0,0,0,0.6473883104348898,0.6473883104348898,1884630.0,2000000,1.0
1500,500.0B,,0,0,0,,,1249.73,2000000,1.0
750,150000.0B,,0,0,0,,,77.8378,2000000,1.0
750,1250.0B,,0,0,0,,,882.883,2000000,1.0
1500,6250.0B,1746599.5092520379,0,0,0,-0.12670024537398109,0.12670024537398109,1396380.0,2000000,1.0
750,7500.0B,,0,0,0,,,77.8378,2000000,1.0
750,175000.0B,,0,0,0,,,77.8378,2000000,1.0
150000,7500.0B,2906772.1066970555,0,0,0,0.4533860533485278,0.4533860533485278,1758560.0,2000000,1.0
7500,50000.0B,3151891.3849551007,0,0,0,0.5759456924775503,0.5759456924775503,1833850.0,2000000,1.0
150000,250000.0B,1535005.2893122572,0,0,0,-0.2324973553438714,0.2324973553438714,2020620.0,2000000,1.0
150000,5000.0B,3350682.8159653936,0,0,0,0.6753414079826968,0.6753414079826968,1464130.0,2000000,1.0
750,2500.0B,,0,0,0,,,77.8378,2000000,1.0
37500,10000.0B,2998244.0870280187,0,0,0,0.49912204351400935,0.49912204351400935,1651550.0,2000000,1.0
37500,5000.0B,4643448.399210986,0,0,0,1.321724199605493,1.321724199605493,1337540.0,2000000,1.0
37500,500.0B,,0,0,0,,,1249.73,2000000,1.0
37500,2500.0B,3248188.8661472565,0,0,0,0.6240944330736282,0.6240944330736282,891330.0,2000000,1.0
37500,200000.0B,4687268.46351894,0,0,0,1.34363423175947,1.34363423175947,1913880.0,2000000,1.0
1500,3750.0B,6395180.299304646,0,0,0,2.1975901496523234,2.1975901496523234,1004150.0,2000000,1.0
7500,100000.0B,2967971.348228817,0,0,0,0.48398567411440846,0.48398567411440846,1858480.0,2000000,1.0
150000,10000.0B,2376587.991819781,0,0,0,0.1882939959098904,0.1882939959098904,1608250.0,2000000,1.0
7500,6250.0B,2081857.816950858,0,0,0,0.04092890847542905,0.04092890847542905,1545770.0,2000000,1.0
150000,3750.0B,3414600.1818557843,0,0,0,0.7073000909278921,0.7073000909278921,1506400.0,2000000,1.0
750,100000.0B,,0,0,0,,,77.8378,2000000,1.0
1500,100000.0B,4256623.878867638,0,0,0,1.1283119394338192,1.1283119394338192,1762250.0,2000000,1.0
150000,150000.0B,4536301.763396024,0,0,0,1.2681508816980118,1.2681508816980118,2076620.0,2000000,1.0
1500,8750.0B,2908649.7939621154,0,0,0,0.4543248969810577,0.4543248969810577,1534470.0,2000000,1.0
750,250000.0B,,0,0,0,,,77.8378,2000000,1.0
750,10000.0B,,0,0,0,,,77.8378,2000000,1.0
37500,175000.0B,4151521.3914288254,0,0,0,1.0757606957144128,1.0757606957144128,1902050.0,2000000,1.0
1500,125000.0B,1524544.2284594113,0,0,0,-0.23772788577029436,0.23772788577029436,1782420.0,2000000,1.0
7500,500.0B,,0,0,0,,,1249.73,2000000,1.0
750,125000.0B,,0,0,0,,,77.8378,2000000,1.0
7500,125000.0B,3819625.1954984986,0,0,0,0.9098125977492493,0.9098125977492493,1857860.0,2000000,1.0
150000,500.0B,,0,0,0,,,1249.73,2000000,1.0
7500,175000.0B,2418318.9142655195,0,0,0,0.20915945713275974,0.20915945713275974,1834630.0,2000000,1.0
1500,2500.0B,5610908.971463848,0,0,0,1.805454485731924,1.805454485731924,587183.0,2000000,1.0
7500,7500.0B,2342723.6519938647,0,0,0,0.17136182599693234,0.17136182599693234,1193150.0,2000000,1.0
750,8750.0B,,0,0,0,,,77.8378,2000000,1.0
150000,175000.0B,6504808.227508556,0,0,0,2.252404113754278,2.252404113754278,2019670.0,2000000,1.0
37500,3750.0B,3346656.2474532477,0,0,0,0.6733281237266239,0.6733281237266239,928521.0,2000000,1.0
7500,200000.0B,4573769.614990895,0,0,0,1.2868848074954473,1.2868848074954473,1890650.0,2000000,1.0
150000,100000.0B,4026227.99220476,0,0,0,1.01311399610238,1.01311399610238,1963870.0,2000000,1.0
150000,1250.0B,,0,0,0,,,13769.4,2000000,1.0
750,200000.0B,,0,0,0,,,77.8378,2000000,1.0
150000,125000.0B,4227111.473247675,0,0,0,1.1135557366238376,1.1135557366238376,1965860.0,2000000,1.0
37500,250000.0B,2216694.910388974,0,0,0,0.108347455194487,0.108347455194487,1822270.0,2000000,1.0
7500,150000.0B,2589276.792173963,0,0,0,0.2946383960869815,0.2946383960869815,1834530.0,2000000,1.0
37500,7500.0B,4433331.243384535,0,0,0,1.2166656216922678,1.2166656216922678,1295340.0,2000000,1.0
1500,10000.0B,2793246.2748637656,0,0,0,0.39662313743188277,0.39662313743188277,1444750.0,2000000,1.0
37500,150000.0B,3970197.4835181255,0,0,0,0.9850987417590628,0.9850987417590628,1899920.0,2000000,1.0
750,6250.0B,,0,0,0,,,77.8378,2000000,1.0
7500,8750.0B,3370739.0461476794,0,0,0,0.6853695230738397,0.6853695230738397,1527550.0,2000000,1.0
1500,500000.0B,2366400.748325778,0,0,0,0.1832003741628891,0.1832003741628891,2132900.0,2000000,1.0
1500,50000.0B,5058075.356854039,0,0,0,1.5290376784270197,1.5290376784270197,1824640.0,2000000,1.0
37500,500000.0B,11187022.16844127,0,0,0,4.593511084220634,4.593511084220634,2183680.0,2000000,1.0
750,5000.0B,,0,0,0,,,77.8378,2000000,1.0
7500,3750.0B,3909012.12072134,0,0,0,0.9545060603606701,0.9545060603606701,1019370.0,2000000,1.0
150000,8750.0B,2721758.6095849313,0,0,0,0.36087930479246566,0.36087930479246566,1725740.0,2000000,1.0
1500,250000.0B,3614199.223474827,0,0,0,0.8070996117374135,0.8070996117374135,1984260.0,2000000,1.0
7500,2500.0B,3972678.8146291664,0,0,0,0.9863394073145831,0.9863394073145831,997480.0,2000000,1.0
1500,175000.0B,1823201.9199840757,0,0,0,-0.08839904000796214,0.08839904000796214,1833430.0,2000000,1.0
150000,200000.0B,4817258.368929594,0,0,0,1.408629184464797,1.408629184464797,2018040.0,2000000,1.0
150000,2500.0B,2937067.1151095624,0,0,0,0.4685335575547812,0.4685335575547812,1461210.0,2000000,1.0
37500,8750.0B,2284631.830438451,0,0,0,0.14231591521922546,0.14231591521922546,1515390.0,2000000,1.0
1500,200000.0B,2533265.577067625,0,0,0,0.2666327885338124,0.2666327885338124,1755290.0,2000000,1.0
1500,150000.0B,1708671.8735169221,0,0,0,-0.14566406324153894,0.14566406324153894,1793820.0,2000000,1.0
7500,10000.0B,4019524.6198393465,0,0,0,1.0097623099196733,1.0097623099196733,1511600.0,2000000,1.0
1500,7500.0B,4782564.602375545,0,0,0,1.3912823011877724,1.3912823011877724,1245340.0,2000000,1.0
37500,1250.0B,,0,0,0,,,13769.4,2000000,1.0
1500,5000.0B,3462725.263121321,0,0,0,0.7313626315606604,0.7313626315606604,1478500.0,2000000,1.0
750,3750.0B,,0,0,0,,,77.8378,2000000,1.0
37500,50000.0B,2238564.5572082372,0,0,0,0.11928227860411862,0.11928227860411862,1801510.0,2000000,1.0
7500,250000.0B,5146303.343420027,0,0,0,1.5731516717100134,1.5731516717100134,1916430.0,2000000,1.0
