burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
4500,25000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1575160.0,2000000,1.0
12000,2500.0B,139534883.72160128,0,0,0,68.76744186080064,68.76744186080064,635273.0,2000000,1.0
4500,15000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1593410.0,2000000,1.0
1500,25000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1565150.0,2000000,1.0
12000,8750.0B,2001829.8283721241,0,0,0,0.0009149141860620584,0.0009149141860620584,1432060.0,2000000,1.0
12000,25000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1663750.0,2000000,1.0
4500,2500.0B,2193228.266398178,0,0,0,0.09661413319908897,0.09661413319908897,900374.0,2000000,1.0
1500,8750.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1580830.0,2000000,1.0
12000,15000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1667890.0,2000000,1.0
4500,5000.0B,2004502.4763619734,0,0,0,0.002251238180986722,0.002251238180986722,928747.0,2000000,1.0
12000,5000.0B,2035482.838801601,0,0,0,0.017741419400800484,0.017741419400800484,1070060.0,2000000,1.0
1500,6250.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1233520.0,2000000,1.0
12000,10000.0B,2007266.1217075046,0,0,0,0.0036330608537523076,0.0036330608537523076,1346750.0,2000000,1.0
4500,3750.0B,2009807.4677597303,0,0,0,0.004903733879865147,0.004903733879865147,951179.0,2000000,1.0
4500,10000.0B,2006079.0686176117,0,0,0,0.003039534308805829,0.003039534308805829,1400100.0,2000000,1.0
12000,3750.0B,2156721.782890131,0,0,0,0.07836089144506561,0.07836089144506561,660492.0,2000000,1.0
1500,3750.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1268690.0,2000000,1.0
12000,6250.0B,2090156.3937441346,0,0,0,0.04507819687206729,0.04507819687206729,994737.0,2000000,1.0
1500,15000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1575990.0,2000000,1.0
12000,7500.0B,2011038.4390835294,0,0,0,0.005519219541764701,0.005519219541764701,1280610.0,2000000,1.0
4500,7500.0B,2002980.8346782816,0,0,0,0.001490417339140782,0.001490417339140782,1421950.0,2000000,1.0
1500,5000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1019290.0,2000000,1.0
1500,2500.0B,1996165.939269526,0,0,0,-0.0019170303652370347,0.0019170303652370347,757452.0,2000000,1.0
4500,6250.0B,2005065.5809916484,0,0,0,0.002532790495824185,0.002532790495824185,1391090.0,2000000,1.0
4500,8750.0B,2001573.5266267394,0,0,0,0.0007867633133697091,0.0007867633133697091,1447670.0,2000000,1.0
1500,7500.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1269070.0,2000000,1.0
1500,10000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1653710.0,2000000,1.0
