burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
1500,22500.0B,1870776.678492472,0,0,0,-0.06461166075376398,0.06461166075376398,1554950.0,2000000,1.0
1500,3750.0B,1524370.4541232465,0,0,0,-0.23781477293837675,0.23781477293837675,1175170.0,2000000,1.0
12000,22500.0B,1881543.7696977928,0,0,0,-0.059228115151103586,0.059228115151103586,1646930.0,2000000,1.0
4500,22500.0B,1920064.8421203862,0,0,0,-0.0399675789398069,0.0399675789398069,1571940.0,2000000,1.0
4500,13125.0B,1841373.1948987122,0,0,0,-0.0793134025506439,0.0793134025506439,1556990.0,2000000,1.0
12000,7500.0B,1914438.609062798,0,0,0,-0.04278069546860096,0.04278069546860096,1169480.0,2000000,1.0
4500,3750.0B,1620032.4162114973,0,0,0,-0.18998379189425135,0.18998379189425135,948874.0,2000000,1.0
12000,15000.0B,1946075.4657432996,0,0,0,-0.026962267128350214,0.026962267128350214,1498970.0,2000000,1.0
4500,7500.0B,1818387.9448812215,0,0,0,-0.09080602755938924,0.09080602755938924,1508080.0,2000000,1.0
1500,7500.0B,1759871.1652300996,0,0,0,-0.12006441738495022,0.12006441738495022,1445140.0,2000000,1.0
1500,15000.0B,1827328.8865874978,0,0,0,-0.08633555670625111,0.08633555670625111,1332910.0,2000000,1.0
12000,11250.0B,1890002.0054970325,0,0,0,-0.05499899725148373,0.05499899725148373,1453600.0,2000000,1.0
1500,5625.0B,1703806.1329725806,0,0,0,-0.1480969335137097,0.1480969335137097,1433660.0,2000000,1.0
12000,13125.0B,1945837.0104457852,0,0,0,-0.02708149477710738,0.02708149477710738,1287450.0,2000000,1.0
4500,9375.0B,1847831.2744106245,0,0,0,-0.07608436279468773,0.07608436279468773,1376270.0,2000000,1.0
12000,37500.0B,1950448.094282701,0,0,0,-0.024775952858649544,0.024775952858649544,1614600.0,2000000,1.0
1500,9375.0B,1799913.4320918089,0,0,0,-0.10004328395409556,0.10004328395409556,1656640.0,2000000,1.0
1500,37500.0B,1840325.6392002543,0,0,0,-0.07983718039987282,0.07983718039987282,1692420.0,2000000,1.0
12000,9375.0B,1903041.1283460644,0,0,0,-0.04847943582696782,0.04847943582696782,1291570.0,2000000,1.0
12000,3750.0B,1972807.2078355483,0,0,0,-0.013596396082225837,0.013596396082225837,1485510.0,2000000,1.0
4500,5625.0B,1809766.9766104764,0,0,0,-0.0951165116947618,0.0951165116947618,1319890.0,2000000,1.0
4500,37500.0B,1830774.038174057,0,0,0,-0.08461298091297155,0.08461298091297155,1687630.0,2000000,1.0
12000,5625.0B,1901823.7275518551,0,0,0,-0.049088136224072425,0.049088136224072425,994963.0,2000000,1.0
4500,11250.0B,1817476.3602641893,0,0,0,-0.09126181986790534,0.09126181986790534,1462220.0,2000000,1.0
1500,11250.0B,1839109.3271119043,0,0,0,-0.08044533644404786,0.08044533644404786,1547780.0,2000000,1.0
1500,13125.0B,1828836.1212865587,0,0,0,-0.08558193935672066,0.08558193935672066,1535090.0,2000000,1.0
4500,15000.0B,1863139.5307251948,0,0,0,-0.06843023463740258,0.06843023463740258,1359080.0,2000000,1.0
