burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
1500,22500.0B,1707968.999371791,38,0.02702702702702703,0.02702702702702703,-0.0037232112365413487,0.0037232112365413487,1554950.0,1714351.8936054488,1.0
1500,3750.0B,1306022.6995349652,50,0.041666666666666664,0.041666666666666664,0.005349092455422412,0.005349092455422412,1175170.0,1299073.8334931901,1.0
12000,22500.0B,1826879.3017877564,44,0.047619047619047616,0.047619047619047616,0.014780202051137486,0.014780202051137486,1646930.0,1800270.9336417415,1.0
4500,22500.0B,1722946.3061094403,48,0.06666666666666667,0.06666666666666667,0.024356760626522467,0.024356760626522467,1571940.0,1681978.752261705,1.0
4500,13125.0B,1718720.7276780263,66,0.11864406779661017,0.11864406779661017,-0.00048664181721900753,0.00048664181721900753,1556990.0,1719557.5362822954,1.0
12000,7500.0B,1275693.2570132427,55,0.0784313725490196,0.0784313725490196,-0.009848682330215866,0.009848682330215866,1169480.0,1288382.1232652108,1.0
4500,3750.0B,1123886.6408250004,34,0.0,0.0,0.07129875647756159,0.07129875647756159,948874.0,1049087.9729202227,1.0
12000,15000.0B,1623810.0563065435,38,0.0,0.0,-0.0168685986700372,0.0168685986700372,1498970.0,1651671.4389448673,1.0
1500,1500.0B,471896.97044708673,100,0.010101010101010102,0.010101010101010102,-0.0015529067909796962,0.0015529067909796962,428117.0,472630.9222158227,1.0
4500,7500.0B,1687254.2731713825,52,0.0196078431372549,0.0196078431372549,0.06918541466977124,0.06918541466977124,1508080.0,1578074.532276058,1.0
1500,7500.0B,1603510.9885437293,45,0.022727272727272728,0.022727272727272728,0.09034300478781657,0.09034300478781657,1445140.0,1470648.2102444235,1.0
1500,15000.0B,1462414.6696728657,45,0.07142857142857142,0.07142857142857142,-0.007427699535483609,0.007427699535483609,1332910.0,1473358.3326760847,1.0
12000,11250.0B,1599834.6484863935,55,0.018518518518518517,0.018518518518518517,-0.004957697132591127,0.004957697132591127,1453600.0,1607805.6620066878,1.0
1500,5625.0B,1605493.540554949,51,0.0,0.0,0.08397952829509597,0.08397952829509597,1433660.0,1481110.5732597187,1.0
12000,13125.0B,1557424.0830841926,44,0.0,0.0,0.09709481259976957,0.09709481259976957,1287450.0,1419589.323728172,1.0
4500,9375.0B,1579016.1529371026,30,0.0,0.0,0.04510723911236489,0.04510723911236489,1376270.0,1510865.19530589,1.0
12000,37500.0B,1655132.3998966212,46,0.0,0.0,-0.0601839642601325,0.0601839642601325,1614600.0,1761123.8124848795,1.0
1500,9375.0B,1845501.5599871075,55,0.0784313725490196,0.0784313725490196,0.007538799128887793,0.007538799128887793,1656640.0,1831692.7959327397,1.0
1500,37500.0B,1856681.9826810006,53,0.019230769230769232,0.019230769230769232,-0.006517167298287525,0.006517167298287525,1692420.0,1868861.6668210297,1.0
1500,1500.0B,532790.9422879256,120,0.02564102564102564,0.02564102564102564,0.0009346272453836216,0.0009346272453836216,484490.0,532293.446330446,1.0
12000,1500.0B,1342967.2718781782,111,0.01834862385321101,0.01834862385321101,-0.0012586668476902456,0.0012586668476902456,1216820.0,1344659.7505275907,1.0
12000,9375.0B,1420100.8909901383,50,0.0,0.0,0.07537164932103421,0.07537164932103421,1291570.0,1320567.537638507,1.0
1500,1500.0B,497908.06582032656,107,0.01904761904761905,0.01904761904761905,0.04304522613657639,0.04304522613657639,437753.0,477359.9968091225,1.0
12000,3750.0B,1637334.842951812,90,0.07142857142857142,0.07142857142857142,-0.0030485611436665196,0.0030485611436665196,1485510.0,1642341.621804672,1.0
4500,5625.0B,1481859.0818132376,46,0.0,0.0,0.05182595845087498,0.05182595845087498,1319890.0,1408844.371929852,1.0
4500,1500.0B,818957.9148348547,73,0.013888888888888888,0.013888888888888888,-0.004221869851038219,0.004221869851038219,743506.0,822430.1077111866,1.0
4500,37500.0B,1836842.272533537,56,0.037037037037037035,0.037037037037037035,-0.01161980409488693,0.01161980409488693,1687630.0,1858436.9457660383,1.0
12000,5625.0B,1152177.311027849,47,0.0,0.0,0.05208484336664286,0.05208484336664286,994963.0,1095137.258456184,1.0
4500,11250.0B,1615075.3203079416,49,0.020833333333333332,0.020833333333333332,0.00024703515490033084,0.00024703515490033084,1462220.0,1614676.4384638518,1.0
4500,1500.0B,882640.3765603667,79,0.0,0.0,0.0027390133080840017,0.0027390133080840017,795514.0,880229.4164744761,1.0
4500,1500.0B,882396.1045767884,79,0.0,0.0,0.0027278153192902203,0.0027278153192902203,795514.0,879995.6389918379,1.0
1500,11250.0B,1702652.5804256932,40,0.08108108108108109,0.08108108108108109,-0.0030259439745257883,0.0030259439745257883,1547780.0,1707820.3491206875,1.0
12000,1500.0B,1554504.6319303487,125,0.016260162601626018,0.016260162601626018,0.0006930743698116833,0.0006930743698116833,1406450.0,1553427.990804574,1.0
1500,13125.0B,1691677.2158514415,66,0.11864406779661017,0.11864406779661017,-0.0024767678112302366,0.0024767678112302366,1535090.0,1695877.5106816872,1.0
12000,1500.0B,1485738.0246295913,104,0.009708737864077669,0.009708737864077669,0.003015701583096279,0.003015701583096279,1339110.0,1481270.9534702166,1.0
4500,15000.0B,1478176.520292672,45,0.07142857142857142,0.07142857142857142,-0.014919598573291818,0.014919598573291818,1359080.0,1500564.337846743,1.0
