burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
1500,2500.0B,1284941.2958640591,114,0.0,0.0,0.0015613813074684458,0.0015613813074684458,1521200.0,1282938.1402332606,1.0
7500,100000.0B,1998670.9084545411,29,0.03571428571428571,0.03571428571428571,-0.001552460671583072,0.001552460671583072,2059540.0,2001778.5909902705,1.0
150000,5000.0B,1847545.556051424,327,0.0,0.0,-0.0540254050507333,0.0540254050507333,1956830.0,1953060.4372631267,1.0
7500,5000.0B,1931639.962689648,87,0.0,0.0,-0.0012891450311039508,0.0012891450311039508,1938460.0,1934133.3410757883,1.0
150000,3750.0B,1724178.059867798,347,0.0,0.0,-0.053090597524938055,0.053090597524938055,1969870.0,1820847.966406381,1.0
1500,500.0B,0.0,14,0.0,0.0,1.0,1.0,115.315,115.2114796718345,1.0
1500,500000.0B,0.0,0,0.0,0.0,1.0,1.0,2166600.0,1997709.833304606,1.0
7500,200000.0B,1843545.3964156453,38,0.02702702702702703,0.02702702702702703,-0.07804908151644092,0.07804908151644092,2172280.0,1999613.384460792,1.0
7500,175000.0B,1805022.3527355175,30,0.034482758620689655,0.034482758620689655,-0.09725442478449155,0.09725442478449155,2172140.0,1999480.6978750492,1.0
1500,8750.0B,1958334.9796314929,76,0.0,0.0,0.0023336468898791474,0.0023336468898791474,2118010.0,1953775.5573784946,1.0
750,250000.0B,0.0,14,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
7500,2500.0B,1928210.179976236,118,0.0,0.0,-0.0013375196723681478,0.0013375196723681478,1933050.0,1930792.6531330654,1.0
7500,1250.0B,0.0,14,0.0,0.0,1.0,1.0,115.315,115.2114796718345,1.0
750,50000.0B,0.0,14,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
150000,50000.0B,1942526.8310563324,198,0.0,0.0,-0.05505589820694662,0.05505589820694662,2235140.0,2055705.546360195,1.0
1500,3750.0B,1968434.6368052012,88,0.0,0.0,0.002941524089923758,0.002941524089923758,2134230.0,1962661.4209550978,1.0
750,2500.0B,0.0,14,0.0,0.0,1.0,1.0,77.8378,43180.568744065175,1.0
37500,125000.0B,2000021.9619013125,33,0.0,0.0,-0.011090318389527863,0.011090318389527863,2112510.0,2022451.59400625,1.0
150000,1250.0B,0.0,14,0.0,0.0,1.0,1.0,115.315,115.2114796718345,1.0
