burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
1500,2500.0B,1477104.8744460014,0,0,0,-0.2614475627769993,0.2614475627769993,1521200.0,2000000,1.0
12000,2500.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1870470.0,2000000,1.0
7500,100000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2059540.0,2000000,1.0
150000,5000.0B,1999999.9999999981,0,0,0,-9.313225746154785e-16,9.313225746154785e-16,1956830.0,2000000,1.0
7500,5000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1938460.0,2000000,1.0
12000,125000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2175060.0,2000000,1.0
150000,3750.0B,2000000.0000005164,0,0,0,2.582091838121414e-13,2.582091838121414e-13,1969870.0,2000000,1.0
12000,6250.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1966770.0,2000000,1.0
1500,500.0B,37.51128832790276,0,0,0,-0.999981244355836,0.999981244355836,115.315,2000000,1.0
4500,500000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2168760.0,2000000,1.0
1500,500000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2166600.0,2000000,1.0
7500,200000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2172280.0,2000000,1.0
7500,175000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2172140.0,2000000,1.0
1500,8750.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2118010.0,2000000,1.0
750,250000.0B,10395.322105052726,0,0,0,-0.9948023389474737,0.9948023389474737,77.8378,2000000,1.0
4500,15000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2168880.0,2000000,1.0
7500,2500.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1933050.0,2000000,1.0
7500,1250.0B,37.51128832790276,0,0,0,-0.999981244355836,0.999981244355836,115.315,2000000,1.0
750,50000.0B,10395.322105052726,0,0,0,-0.9948023389474737,0.9948023389474737,77.8378,2000000,1.0
150000,50000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2235140.0,2000000,1.0
1500,3750.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2134230.0,2000000,1.0
750,2500.0B,10395.322105052726,0,0,0,-0.9948023389474737,0.9948023389474737,77.8378,2000000,1.0
37500,125000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2112510.0,2000000,1.0
150000,1250.0B,37.51128832790276,0,0,0,-0.999981244355836,0.999981244355836,115.315,2000000,1.0
12000,10000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1947100.0,2000000,1.0
37500,15000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2052140.0,2000000,1.0
37500,2500.0B,2000000.0000000722,0,0,0,3.608874976634979e-14,3.608874976634979e-14,1136290.0,2000000,1.0
1500,250000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2141740.0,2000000,1.0
150000,10000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2165610.0,2000000,1.0
150000,2500.0B,199999999.9994299,0,0,0,98.99999999971496,98.99999999971496,1592510.0,2000000,1.0
