burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
1500,2500.0B,1036039.1828219567,0,0,0,-0.48198040858902164,0.48198040858902164,1521200.0,2000000,1.0
12000,2500.0B,1960711.0263493569,0,0,0,-0.019644486825321567,0.019644486825321567,1870470.0,2000000,1.0
7500,100000.0B,2126849.039306412,0,0,0,0.06342451965320599,0.06342451965320599,2059540.0,2000000,1.0
150000,5000.0B,1987832.5628352973,0,0,0,-0.006083718582351343,0.006083718582351343,1956830.0,2000000,1.0
7500,5000.0B,1993342.7857658926,0,0,0,-0.0033286071170537035,0.0033286071170537035,1938460.0,2000000,1.0
12000,125000.0B,1854020.652169,0,0,0,-0.07298967391550006,0.07298967391550006,2175060.0,2000000,1.0
150000,3750.0B,2307339.2619400797,0,0,0,0.15366963097003988,0.15366963097003988,1969870.0,2000000,1.0
12000,6250.0B,1921528.7203687485,0,0,0,-0.039235639815625736,0.039235639815625736,1966770.0,2000000,1.0
1500,500.0B,,0,0,0,,,115.315,2000000,1.0
4500,500000.0B,2524948.519842839,0,0,0,0.26247425992141943,0.26247425992141943,2168760.0,2000000,1.0
1500,500000.0B,2472276.7618863527,0,0,0,0.23613838094317632,0.23613838094317632,2166600.0,2000000,1.0
7500,200000.0B,2098748.248854669,0,0,0,0.0493741244273344,0.0493741244273344,2172280.0,2000000,1.0
7500,175000.0B,2051497.4533307601,0,0,0,0.025748726665380063,0.025748726665380063,2172140.0,2000000,1.0
1500,8750.0B,2112932.006157262,0,0,0,0.056466003078630894,0.056466003078630894,2118010.0,2000000,1.0
750,250000.0B,,0,0,0,,,77.8378,2000000,1.0
4500,15000.0B,1775560.8426911954,0,0,0,-0.11221957865440228,0.11221957865440228,2168880.0,2000000,1.0
7500,2500.0B,1975216.1566762857,0,0,0,-0.012391921661857166,0.012391921661857166,1933050.0,2000000,1.0
7500,1250.0B,,0,0,0,,,115.315,2000000,1.0
750,50000.0B,,0,0,0,,,77.8378,2000000,1.0
150000,50000.0B,1823821.0087378793,0,0,0,-0.08808949563106033,0.08808949563106033,2235140.0,2000000,1.0
1500,3750.0B,1685998.8943835003,0,0,0,-0.15700055280824984,0.15700055280824984,2134230.0,2000000,1.0
750,2500.0B,,0,0,0,,,77.8378,2000000,1.0
37500,125000.0B,2136400.943410864,0,0,0,0.06820047170543204,0.06820047170543204,2112510.0,2000000,1.0
150000,1250.0B,,0,0,0,,,115.315,2000000,1.0
12000,10000.0B,2065638.3664190115,0,0,0,0.03281918320950575,0.03281918320950575,1947100.0,2000000,1.0
37500,15000.0B,1783204.6869233516,0,0,0,-0.1083976565383242,0.1083976565383242,2052140.0,2000000,1.0
37500,2500.0B,2712306.158709075,0,0,0,0.35615307935453744,0.35615307935453744,1136290.0,2000000,1.0
1500,250000.0B,2330628.1646646806,0,0,0,0.1653140823323403,0.1653140823323403,2141740.0,2000000,1.0
150000,10000.0B,2209854.613936408,0,0,0,0.10492730696820397,0.10492730696820397,2165610.0,2000000,1.0
150000,2500.0B,4441609.727161033,0,0,0,1.2208048635805164,1.2208048635805164,1592510.0,2000000,1.0
1500,150000.0B,2064653.6007938543,0,0,0,0.03232680039692717,0.03232680039692717,2167640.0,2000000,1.0
150000,200000.0B,2057162.1092479515,0,0,0,0.02858105462397577,0.02858105462397577,2275360.0,2000000,1.0
150000,8750.0B,2214127.6648648027,0,0,0,0.10706383243240136,0.10706383243240136,2123450.0,2000000,1.0
7500,8750.0B,2104927.9603844415,0,0,0,0.05246398019222077,0.05246398019222077,2171010.0,2000000,1.0
1500,175000.0B,2108605.339788588,0,0,0,0.054302669894294116,0.054302669894294116,2168920.0,2000000,1.0
37500,200000.0B,1934277.972611488,0,0,0,-0.03286101369425596,0.03286101369425596,2193850.0,2000000,1.0
150000,175000.0B,2039124.267078867,0,0,0,0.019562133539433476,0.019562133539433476,2270620.0,2000000,1.0
150000,25000.0B,1862666.1345775041,0,0,0,-0.06866693271124794,0.06866693271124794,2029270.0,2000000,1.0
4500,250000.0B,2152609.721949514,0,0,0,0.076304860974757,0.076304860974757,2176330.0,2000000,1.0
4500,8750.0B,2119729.3243715498,0,0,0,0.05986466218577488,0.05986466218577488,2001160.0,2000000,1.0
1500,1250.0B,,0,0,0,,,115.315,2000000,1.0
750,500000.0B,,0,0,0,,,77.8378,2000000,1.0
1500,6250.0B,1920323.2300872388,0,0,0,-0.03983838495638058,0.03983838495638058,2115850.0,2000000,1.0
1500,15000.0B,1773003.074134472,0,0,0,-0.11349846293276397,0.11349846293276397,2166720.0,2000000,1.0
7500,50000.0B,1832880.6542616487,0,0,0,-0.08355967286917568,0.08355967286917568,2169600.0,2000000,1.0
12000,150000.0B,1990588.6454904613,0,0,0,-0.004705677254769369,0.004705677254769369,2175180.0,2000000,1.0
750,7500.0B,,0,0,0,,,77.8378,2000000,1.0
4500,7500.0B,2119729.3243715498,0,0,0,0.05986466218577488,0.05986466218577488,2001160.0,2000000,1.0
37500,5000.0B,1984080.0016564315,0,0,0,-0.007959999171784264,0.007959999171784264,1901790.0,2000000,1.0
37500,8750.0B,2106905.078421559,0,0,0,0.053452539210779595,0.053452539210779595,1954800.0,2000000,1.0
12000,5000.0B,1986067.4054961256,0,0,0,-0.006966297251937212,0.006966297251937212,2004580.0,2000000,1.0
7500,150000.0B,1990637.951800551,0,0,0,-0.004681024099724484,0.004681024099724484,2173020.0,2000000,1.0
750,1250.0B,,0,0,0,,,115.315,2000000,1.0
37500,1250.0B,,0,0,0,,,115.315,2000000,1.0
4500,100000.0B,2132847.5810851725,0,0,0,0.06642379054258624,0.06642379054258624,2059540.0,2000000,1.0
750,15000.0B,,0,0,0,,,77.8378,2000000,1.0
1500,7500.0B,2112932.006157262,0,0,0,0.056466003078630894,0.056466003078630894,2118010.0,2000000,1.0
4500,50000.0B,1829540.3978611582,0,0,0,-0.08522980106942088,0.08522980106942088,2166300.0,2000000,1.0
1500,200000.0B,2148285.32620132,0,0,0,0.07414266310066008,0.07414266310066008,2170120.0,2000000,1.0
37500,500000.0B,2388533.655316999,0,0,0,0.1942668276584996,0.1942668276584996,2190390.0,2000000,1.0
37500,10000.0B,2061048.5362244735,0,0,0,0.03052426811223675,0.03052426811223675,2006720.0,2000000,1.0
37500,25000.0B,1792673.0413750196,0,0,0,-0.1036634793124902,0.1036634793124902,2192690.0,2000000,1.0
1500,50000.0B,2018790.7797299607,0,0,0,0.00939538986498036,0.00939538986498036,2167090.0,2000000,1.0
1500,100000.0B,1924762.8119154463,0,0,0,-0.03761859404227685,0.03761859404227685,2167440.0,2000000,1.0
12000,25000.0B,1829142.7029789144,0,0,0,-0.08542864851054281,0.08542864851054281,2174400.0,2000000,1.0
750,10000.0B,,0,0,0,,,77.8378,2000000,1.0
