burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
1500,2500.0B,2066159.5335957096,0,0,0,0.0330797667978548,0.0330797667978548,1521200.0,2000000,1.0
7500,100000.0B,1983005.1379245766,0,0,0,-0.008497431037711677,0.008497431037711677,2059540.0,2000000,1.0
150000,5000.0B,,0,0,0,,,1956830.0,2000000,1.0
7500,5000.0B,1809370.765960752,0,0,0,-0.09531461701962399,0.09531461701962399,1938460.0,2000000,1.0
150000,3750.0B,,0,0,0,,,1969870.0,2000000,1.0
1500,500.0B,,0,0,0,,,115.315,2000000,1.0
1500,500000.0B,2373389.612512169,0,0,0,0.18669480625608448,0.18669480625608448,2166600.0,2000000,1.0
7500,200000.0B,1995842.8749975245,0,0,0,-0.002078562501237728,0.002078562501237728,2172280.0,2000000,1.0
7500,175000.0B,1992810.6400756168,0,0,0,-0.0035946799621916145,0.0035946799621916145,2172140.0,2000000,1.0
1500,8750.0B,1880109.2391544941,0,0,0,-0.05994538042275293,0.05994538042275293,2118010.0,2000000,1.0
750,250000.0B,,0,0,0,,,77.8378,2000000,1.0
7500,2500.0B,1785833.5857129921,0,0,0,-0.10708320714350394,0.10708320714350394,1933050.0,2000000,1.0
7500,1250.0B,,0,0,0,,,115.315,2000000,1.0
750,50000.0B,,0,0,0,,,77.8378,2000000,1.0
150000,50000.0B,1422991.3855984448,0,0,0,-0.2885043072007776,0.2885043072007776,2235140.0,2000000,1.0
1500,3750.0B,2970242.4850228364,0,0,0,0.4851212425114182,0.4851212425114182,2134230.0,2000000,1.0
750,2500.0B,,0,0,0,,,77.8378,2000000,1.0
37500,125000.0B,,0,0,0,,,2112510.0,2000000,1.0
150000,1250.0B,,0,0,0,,,115.315,2000000,1.0
37500,2500.0B,2606215.725486538,0,0,0,0.30310786274326895,0.30310786274326895,1136290.0,2000000,1.0
1500,250000.0B,917128.5170994273,0,0,0,-0.5414357414502864,0.5414357414502864,2141740.0,2000000,1.0
150000,10000.0B,1811413.4614249417,0,0,0,-0.09429326928752917,0.09429326928752917,2165610.0,2000000,1.0
150000,2500.0B,1073792.9651601955,0,0,0,-0.46310351741990224,0.46310351741990224,1592510.0,2000000,1.0
1500,150000.0B,1990860.3354126222,0,0,0,-0.0045698322936889016,0.0045698322936889016,2167640.0,2000000,1.0
150000,200000.0B,1658407.034307097,0,0,0,-0.17079648284645146,0.17079648284645146,2275360.0,2000000,1.0
150000,8750.0B,1438793.7203668058,0,0,0,-0.2806031398165971,0.2806031398165971,2123450.0,2000000,1.0
7500,8750.0B,1698276.025354448,0,0,0,-0.150861987322776,0.150861987322776,2171010.0,2000000,1.0
1500,175000.0B,1995252.1282857955,0,0,0,-0.0023739358571022748,0.0023739358571022748,2168920.0,2000000,1.0
37500,200000.0B,1992985.562069843,0,0,0,-0.003507218965078471,0.003507218965078471,2193850.0,2000000,1.0
150000,175000.0B,1642021.6317969256,0,0,0,-0.17898918410153722,0.17898918410153722,2270620.0,2000000,1.0
1500,1250.0B,,0,0,0,,,115.315,2000000,1.0
750,500000.0B,,0,0,0,,,77.8378,2000000,1.0
1500,6250.0B,1879075.7427484982,0,0,0,-0.06046212862575089,0.06046212862575089,2115850.0,2000000,1.0
7500,50000.0B,1606813.2975298967,0,0,0,-0.19659335123505164,0.19659335123505164,2169600.0,2000000,1.0
750,7500.0B,,0,0,0,,,77.8378,2000000,1.0
37500,5000.0B,2010202.0094381147,0,0,0,0.005101004719057353,0.005101004719057353,1901790.0,2000000,1.0
37500,8750.0B,2071666.166641742,0,0,0,0.035833083320871,0.035833083320871,1954800.0,2000000,1.0
7500,150000.0B,1986687.0002775022,0,0,0,-0.006656499861248885,0.006656499861248885,2173020.0,2000000,1.0
750,1250.0B,,0,0,0,,,115.315,2000000,1.0
37500,1250.0B,,0,0,0,,,115.315,2000000,1.0
1500,7500.0B,1880109.2391544941,0,0,0,-0.05994538042275293,0.05994538042275293,2118010.0,2000000,1.0
1500,200000.0B,1996337.1259919973,0,0,0,-0.0018314370040013455,0.0018314370040013455,2170120.0,2000000,1.0
37500,500000.0B,1811564.4344537242,0,0,0,-0.0942177827731379,0.0942177827731379,2190390.0,2000000,1.0
37500,10000.0B,2096059.840599886,0,0,0,0.048029920299942956,0.048029920299942956,2006720.0,2000000,1.0
1500,50000.0B,2021178.404383658,0,0,0,0.010589202191828982,0.010589202191828982,2167090.0,2000000,1.0
1500,100000.0B,1946321.123414028,0,0,0,-0.026839438292986014,0.026839438292986014,2167440.0,2000000,1.0
750,10000.0B,,0,0,0,,,77.8378,2000000,1.0
150000,100000.0B,1523099.714159968,0,0,0,-0.23845014292001596,0.23845014292001596,2272850.0,2000000,1.0
150000,500000.0B,2056508.3961906482,0,0,0,0.0282541980953241,0.0282541980953241,2265020.0,2000000,1.0
7500,7500.0B,1684028.7656798258,0,0,0,-0.1579856171600871,0.1579856171600871,2168940.0,2000000,1.0
750,3750.0B,,0,0,0,,,77.8378,2000000,1.0
37500,50000.0B,1459716.820390566,0,0,0,-0.270141589804717,0.270141589804717,2192950.0,2000000,1.0
150000,500.0B,,0,0,0,,,115.315,2000000,1.0
150000,150000.0B,1307520.1638577627,0,0,0,-0.34623991807111865,0.34623991807111865,2217110.0,2000000,1.0
150000,125000.0B,1885625.5060534575,0,0,0,-0.057187246973271245,0.057187246973271245,2274610.0,2000000,1.0
750,175000.0B,,0,0,0,,,77.8378,2000000,1.0
150000,250000.0B,2144924.7822915004,0,0,0,0.07246239114575018,0.07246239114575018,2275240.0,2000000,1.0
750,6250.0B,,0,0,0,,,77.8378,2000000,1.0
750,5000.0B,,0,0,0,,,77.8378,2000000,1.0
750,500.0B,,0,0,0,,,115.315,2000000,1.0
750,8750.0B,,0,0,0,,,77.8378,2000000,1.0
150000,6250.0B,1453241.3209150669,0,0,0,-0.27337933954246657,0.27337933954246657,2125610.0,2000000,1.0
7500,6250.0B,,0,0,0,,,1939540.0,2000000,1.0
37500,100000.0B,1582224.030162003,0,0,0,-0.20888798491899854,0.20888798491899854,2150990.0,2000000,1.0
150000,7500.0B,1438793.7203668058,0,0,0,-0.2806031398165971,0.2806031398165971,2123450.0,2000000,1.0
37500,175000.0B,1981085.1443974709,0,0,0,-0.009457427801264566,0.009457427801264566,2193640.0,2000000,1.0
37500,500.0B,,0,0,0,,,115.315,2000000,1.0
7500,125000.0B,1960076.7080814643,0,0,0,-0.01996164595926786,0.01996164595926786,2172930.0,2000000,1.0
37500,250000.0B,1996796.466673317,0,0,0,-0.0016017666633415502,0.0016017666633415502,2195190.0,2000000,1.0
7500,250000.0B,794652.9896700471,0,0,0,-0.6026735051649764,0.6026735051649764,2180660.0,2000000,1.0
750,125000.0B,,0,0,0,,,77.8378,2000000,1.0
1500,5000.0B,1851605.4916234813,0,0,0,-0.07419725418825937,0.07419725418825937,2057500.0,2000000,1.0
37500,7500.0B,2071674.003362834,0,0,0,0.03583700168141699,0.03583700168141699,1954760.0,2000000,1.0
7500,10000.0B,1744437.4282352892,0,0,0,-0.1277812858823554,0.1277812858823554,2171010.0,2000000,1.0
1500,125000.0B,1982252.0652413948,0,0,0,-0.008873967379302601,0.008873967379302601,2168550.0,2000000,1.0
