burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
1500,2500.0B,1282498.8633534424,0,0,0,-0.3587505683232788,0.3587505683232788,1521200.0,2000000,1.0
7500,100000.0B,2000926.5532786904,0,0,0,0.0004632766393452184,0.0004632766393452184,2059540.0,2000000,1.0
150000,5000.0B,1952436.5114834982,0,0,0,-0.023781744258250925,0.023781744258250925,1956830.0,2000000,1.0
7500,5000.0B,1934099.4394249166,0,0,0,-0.03295028028754168,0.03295028028754168,1938460.0,2000000,1.0
150000,3750.0B,1818283.2700326422,0,0,0,-0.09085836498367891,0.09085836498367891,1969870.0,2000000,1.0
1500,500000.0B,1996550.0574575274,0,0,0,-0.0017249712712363108,0.0017249712712363108,2166600.0,2000000,1.0
7500,200000.0B,1998463.8753356957,0,0,0,-0.0007680623321521562,0.0007680623321521562,2172280.0,2000000,1.0
7500,175000.0B,1998331.2650269181,0,0,0,-0.0008343674865409266,0.0008343674865409266,2172140.0,2000000,1.0
1500,8750.0B,1951772.8650014412,0,0,0,-0.024113567499279395,0.024113567499279395,2118010.0,2000000,1.0
750,250000.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
7500,2500.0B,1928706.1829370987,0,0,0,-0.035646908531450666,0.035646908531450666,1933050.0,2000000,1.0
750,50000.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
150000,50000.0B,2052890.7686905076,0,0,0,0.026445384345253814,0.026445384345253814,2235140.0,2000000,1.0
1500,3750.0B,1960204.0009148149,0,0,0,-0.01989799954259256,0.01989799954259256,2134230.0,2000000,1.0
750,2500.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
37500,125000.0B,2020544.5480568174,0,0,0,0.01027227402840869,0.01027227402840869,2112510.0,2000000,1.0
37500,2500.0B,1135782.9517257726,0,0,0,-0.4321085241371137,0.4321085241371137,1136290.0,2000000,1.0
1500,250000.0B,1996856.0366322498,0,0,0,-0.0015719816838750849,0.0015719816838750849,2141740.0,2000000,1.0
150000,10000.0B,1995633.5263749203,0,0,0,-0.0021832368125398642,0.0021832368125398642,2165610.0,2000000,1.0
150000,2500.0B,1591793.9629869135,0,0,0,-0.20410301850654325,0.20410301850654325,1592510.0,2000000,1.0
1500,150000.0B,1994193.8233930664,0,0,0,-0.002903088303466793,0.002903088303466793,2167640.0,2000000,1.0
150000,200000.0B,2093293.5071423433,0,0,0,0.046646753571171665,0.046646753571171665,2275360.0,2000000,1.0
