burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate
1500,2500.0B,1706217.2205196081,94,0,0,0.16874128376339725,0.16874128376339725,1525520.0,1459875.8888926343
150000,1800.0B,3941023.072748131,230,0,0,1.438728942555635,1.438728942555635,1608760.0,1616015.2134899362
7500,100000.0B,1928137.2717068628,9,0,0,-0.03494682381755858,0.03494682381755858,1895250.0,1997959.6143439377
150000,5000.0B,3772275.4584098416,216,0,0,1.0149667200544314,1.0149667200544314,1873630.0,1872127.9219479808
7500,5000.0B,2119819.488357894,82,0,0,0.11595953963552189,0.11595953963552189,1801200.0,1899548.6960488174
1500,500.0B,0.0,14,0,0,-1.0,1.0,115.315,115.2111063506522
1500,500000.0B,2100909.312950202,0,0,0,0.05391084748311593,0.05391084748311593,1890960.0,1993441.2080181756
7500,200000.0B,2105713.2938617193,0,0,0,0.05391102017769901,0.05391102017769901,1895290.0,1997999.1228355092
7500,175000.0B,2105713.2938617193,0,0,0,0.05391102017769901,0.05391102017769901,1895290.0,1997999.1228355092
750,250000.0B,0.0,14,0,0,-1.0,1.0,77.8378,43006.47088103534
7500,2500.0B,2068751.9182977173,101,0,0,0.2329588488178358,0.2329588488178358,1593630.0,1677875.88392041
750,50000.0B,0.0,14,0,0,-1.0,1.0,77.8378,43006.47088103534
150000,50000.0B,2828803.9691853207,83,0,0,0.37002880569165386,0.37002880569165386,1960120.0,2064777.001354515
750,2500.0B,0.0,14,0,0,-1.0,1.0,77.8378,43006.47088103534
37500,125000.0B,2528834.571850807,7,0,0,0.2514346718120604,0.2514346718120604,1916870.0,2020748.3689013417
37500,2500.0B,2486697.921216501,156,0,0,0.5638047947723916,0.5638047947723916,1509300.0,1590158.777827788
1500,250000.0B,2100909.312950202,0,0,0,0.05391084748311593,0.05391084748311593,1890960.0,1993441.2080181756
150000,10000.0B,3641221.147352282,188,0,0,1.0468733035012487,1.0468733035012487,1676910.0,1778918.6761700616
150000,2500.0B,3941023.072748131,230,0,0,1.438728942555635,1.438728942555635,1608760.0,1616015.2134899362
1500,150000.0B,2100909.312950202,0,0,0,0.05391084748311593,0.05391084748311593,1890960.0,1993441.2080181756
150000,200000.0B,2219676.5502697015,0,0,0,0.053882553658841675,0.053882553658841675,1999070.0,2106189.6722395555
1500,175000.0B,2100909.312950202,0,0,0,0.05391084748311593,0.05391084748311593,1890960.0,1993441.2080181756
37500,200000.0B,2129733.1407137387,0,0,0,0.05391187050033611,0.05391187050033611,1916910.0,2020788.6449771794
150000,175000.0B,2219676.5502697015,0,0,0,0.053882553658841675,0.053882553658841675,1999070.0,2106189.6722395555
750,1800.0B,0.0,14,0,0,-1.0,1.0,77.8378,43006.47088103534
750,500000.0B,0.0,14,0,0,-1.0,1.0,77.8378,43006.47088103534
7500,50000.0B,2099489.2952543995,38,0,0,0.1274837073721239,0.1274837073721239,1767680.0,1862101.6707618525
750,7500.0B,0.0,14,0,0,-1.0,1.0,77.8378,43006.47088103534
37500,5000.0B,2594870.9822514527,140,0,0,0.597760872204442,0.597760872204442,1535250.0,1624067.1726247063
7500,150000.0B,2105713.2938617193,0,0,0,0.05391102017769901,0.05391102017769901,1895290.0,1997999.1228355092
1500,7500.0B,1997728.1385730344,67,0,0,0.07600921715964112,0.07600921715964112,1756870.0,1856608.7601428449
1500,200000.0B,2100909.312950202,0,0,0,0.05391084748311593,0.05391084748311593,1890960.0,1993441.2080181756
37500,500000.0B,2129733.1407137387,0,0,0,0.05391187050033611,0.05391187050033611,1916910.0,2020788.6449771794
37500,10000.0B,2312710.299271959,137,0,0,0.2986887106197282,0.2986887106197282,1689850.0,1780804.1914588942
1500,50000.0B,2021148.5616450752,25,0,0,0.01391935310393205,0.01391935310393205,1890930.0,1993401.699511595
1500,100000.0B,1905204.1338158108,9,0,0,-0.04424475293534346,0.04424475293534346,1890930.0,1993401.699511595
750,10000.0B,0.0,14,0,0,-1.0,1.0,77.8378,43006.47088103534
150000,100000.0B,2478824.4590254095,23,0,0,0.35388917967554945,0.35388917967554945,1832550.0,1830891.6979596834
150000,500000.0B,2219676.5502697015,0,0,0,0.053882553658841675,0.053882553658841675,1999070.0,2106189.6722395555
1500,1800.0B,1706217.2205196081,94,0,0,0.16874128376339725,0.16874128376339725,1525520.0,1459875.8888926343
7500,7500.0B,2240980.2153200754,82,0,0,0.18396765350574468,0.18396765350574468,1795790.0,1892771.4863531126
37500,50000.0B,2114217.910420391,88,0,0,0.11564772066020157,0.11564772066020157,1797950.0,1895058.6921553249
150000,500.0B,0.0,14,0,0,-1.0,1.0,115.315,115.2111063506522
37500,1800.0B,2486697.921216501,156,0,0,0.5638047947723916,0.5638047947723916,1509300.0,1590158.777827788
150000,150000.0B,2219676.5502697015,0,0,0,0.053882553658841675,0.053882553658841675,1999070.0,2106189.6722395555
150000,125000.0B,2151366.777912854,7,0,0,0.021469029146701173,0.021469029146701173,1999030.0,2106149.78675372
750,175000.0B,0.0,14,0,0,-1.0,1.0,77.8378,43006.47088103534
150000,250000.0B,2219676.5502697015,0,0,0,0.053882553658841675,0.053882553658841675,1999070.0,2106189.6722395555
7500,1500.0B,2068751.9182977173,101,0,0,0.2329588488178358,0.2329588488178358,1593630.0,1677875.88392041
750,5000.0B,0.0,14,0,0,-1.0,1.0,77.8378,43006.47088103534
750,500.0B,0.0,14,0,0,-1.0,1.0,115.315,115.2111063506522
750,1500.0B,0.0,14,0,0,-1.0,1.0,77.8378,43006.47088103534
37500,100000.0B,2085911.4059975443,33,0,0,0.03224453153757576,0.03224453153757576,1916870.0,2020753.166781599
150000,7500.0B,3358455.477250494,186,0,0,0.7208444200557237,0.7208444200557237,1790390.0,1951632.255716494
37500,175000.0B,2129733.1407137387,0,0,0,0.05391187050033611,0.05391187050033611,1916910.0,2020788.6449771794
37500,500.0B,0.0,14,0,0,-1.0,1.0,115.315,115.2111063506522
7500,125000.0B,2021031.952207231,7,0,0,0.01154814220562648,0.01154814220562648,1895250.0,1997959.2348422282
37500,250000.0B,2129733.1407137387,0,0,0,0.05391187050033611,0.05391187050033611,1916910.0,2020788.6449771794
7500,1800.0B,2068751.9182977173,101,0,0,0.2329588488178358,0.2329588488178358,1593630.0,1677875.88392041
