burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
150000,300000.0B,2000000.0000000722,0,0,0,3.608874976634979e-14,3.608874976634979e-14,2028020.0,2000000,0.5
750,750000.0B,6929.1758278366315,0,0,0,-0.9965354120860817,0.9965354120860817,77.8378,2000000,0.5
1500,262500.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1975700.0,2000000,0.5
7500,225000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1891790.0,2000000,0.5
4500,7500.0B,2001618.1229773222,0,0,0,0.0008090614886611001,0.0008090614886611001,1372290.0,2000000,0.5
37500,9375.0B,2018747.5287346537,0,0,0,0.009373764367326861,0.009373764367326861,1424020.0,2000000,0.5
150000,375000.0B,1999999.9999999981,0,0,0,-9.313225746154785e-16,9.313225746154785e-16,2164490.0,2000000,0.5
750,225000.0B,6929.1758278366315,0,0,0,-0.9965354120860817,0.9965354120860817,77.8378,2000000,0.5
1500,13125.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1458100.0,2000000,0.5
4500,150000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1780120.0,2000000,0.5
750,37500.0B,6929.1758278366315,0,0,0,-0.9965354120860817,0.9965354120860817,77.8378,2000000,0.5
37500,22500.0B,2000000.0000000973,0,0,0,4.8661604523658755e-14,4.8661604523658755e-14,1644600.0,2000000,0.5
1500,375000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2090140.0,2000000,0.5
750,22500.0B,6929.1758278366315,0,0,0,-0.9965354120860817,0.9965354120860817,77.8378,2000000,0.5
150000,1875.0B,91937572.79278342,0,0,0,44.968786396391714,44.968786396391714,1570890.0,2000000,0.5
150000,150000.0B,2000000.0000002203,0,0,0,1.1012889444828034e-13,1.1012889444828034e-13,1979640.0,2000000,0.5
150000,9375.0B,72457933.81866947,0,0,0,35.22896690933474,35.22896690933474,1820370.0,2000000,0.5
37500,750000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2184420.0,2000000,0.5
150000,225000.0B,2000352.0837823185,0,0,0,0.00017604189115925692,0.00017604189115925692,2018450.0,2000000,0.5
4500,75000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1815660.0,2000000,0.5
1500,225000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1793270.0,2000000,0.5
750,3750.0B,6929.1758278366315,0,0,0,-0.9965354120860817,0.9965354120860817,77.8378,2000000,0.5
37500,225000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,1977830.0,2000000,0.5
750,9375.0B,6929.1758278366315,0,0,0,-0.9965354120860817,0.9965354120860817,77.8378,2000000,0.5
12000,300000.0B,1999999.999999924,0,0,0,-3.795139491558075e-14,3.795139491558075e-14,2037180.0,2000000,0.5
150000,22500.0B,2014931.2377206546,0,0,0,0.00746561886032729,0.00746561886032729,1775360.0,2000000,0.5
