burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
1500,3750.0B,1428716.579576063,0,0,0,-0.2856417102119685,0.2856417102119685,1298210.0,2000000,1.0
7500,7500.0B,1258797.1026907656,0,0,0,-0.3706014486546172,0.3706014486546172,1143810.0,2000000,1.0
37500,750000.0B,2019373.709107869,0,0,0,0.009686854553934535,0.009686854553934535,2184420.0,2000000,1.0
37500,5625.0B,1483549.2734210214,0,0,0,-0.2582253632894893,0.2582253632894893,1344020.0,2000000,1.0
7500,187500.0B,1977871.32848496,0,0,0,-0.01106433575752005,0.01106433575752005,1738360.0,2000000,1.0
7500,300000.0B,1995615.3628777617,0,0,0,-0.0021923185611191437,0.0021923185611191437,2034590.0,2000000,1.0
750,75000.0B,14391.365180891466,0,0,0,-0.9928043174095542,0.9928043174095542,77.8378,2000000,1.0
150000,5625.0B,1868879.0802990198,0,0,0,-0.0655604598504901,0.0655604598504901,1652680.0,2000000,1.0
750,5625.0B,14391.365180891466,0,0,0,-0.9928043174095542,0.9928043174095542,77.8378,2000000,1.0
150000,750000.0B,2089734.5088092757,0,0,0,0.044867254404637846,0.044867254404637846,2328340.0,2000000,1.0
7500,75000.0B,1986364.0001403498,0,0,0,-0.006817999929825077,0.006817999929825077,1815660.0,2000000,1.0
7500,375000.0B,1998033.4823161059,0,0,0,-0.0009832588419470703,0.0009832588419470703,2096490.0,2000000,1.0
37500,300000.0B,2021300.2864947692,0,0,0,0.010650143247384577,0.010650143247384577,2049840.0,2000000,1.0
750,150000.0B,14391.365180891466,0,0,0,-0.9928043174095542,0.9928043174095542,77.8378,2000000,1.0
150000,11250.0B,1962588.2235248354,0,0,0,-0.018705888237582288,0.018705888237582288,1788620.0,2000000,1.0
150000,75000.0B,2105717.6056047715,0,0,0,0.052858802802385765,0.052858802802385765,1941840.0,2000000,1.0
37500,225000.0B,2014761.0240100184,0,0,0,0.007380512005009223,0.007380512005009223,1977830.0,2000000,1.0
750,15000.0B,14391.365180891466,0,0,0,-0.9928043174095542,0.9928043174095542,77.8378,2000000,1.0
150000,13125.0B,1949926.0761003713,0,0,0,-0.025036961949814345,0.025036961949814345,1771810.0,2000000,1.0
7500,150000.0B,1938505.0961760117,0,0,0,-0.03074745191199414,0.03074745191199414,1824340.0,2000000,1.0
1500,750.0B,270371.1106669332,0,0,0,-0.8648144446665333,0.8648144446665333,1462.34,2000000,1.0
37500,750.0B,354987.00779532286,0,0,0,-0.8225064961023385,0.8225064961023385,1920.0,2000000,1.0
150000,15000.0B,1994519.7030824823,0,0,0,-0.0027401484587588347,0.0027401484587588347,1785360.0,2000000,1.0
1500,1875.0B,568879.3544555333,0,0,0,-0.7155603227722332,0.7155603227722332,466146.0,2000000,1.0
7500,750.0B,354987.00779532286,0,0,0,-0.8225064961023385,0.8225064961023385,1920.0,2000000,1.0
37500,7500.0B,1503242.134321397,0,0,0,-0.24837893283930154,0.24837893283930154,1361860.0,2000000,1.0
750,3750.0B,14391.365180891466,0,0,0,-0.9928043174095542,0.9928043174095542,77.8378,2000000,1.0
