burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
4500,37500.0B,1885406.992264292,71,0.0,0.0,0.0026552196257934625,0.0026552196257934625,1725240.0,1880414.079894737,2.0
4500,15000.0B,1746253.546963483,84,0.012048192771084338,0.012048192771084338,-0.014034004024541016,0.014034004024541016,1610330.0,1771109.3020361606,2.0
4500,22500.0B,1877888.3083087767,88,0.023255813953488372,0.023255813953488372,0.0014000255439797012,0.0014000255439797012,1710120.0,1875262.8923577985,2.0
37500,7500.0B,1421057.9129014562,191,0.010582010582010581,0.010582010582010581,-0.02052381450862194,0.02052381450862194,1313420.0,1450834.5725511927,2.0
12000,22500.0B,1777804.8213245955,87,0.023529411764705882,0.023529411764705882,-0.024169796817555156,0.024169796817555156,1659560.0,1821838.282445753,2.0
7500,7500.0B,1430232.5180098442,73,0.0,0.0,0.05814271649788787,0.05814271649788787,1245470.0,1351644.2495993867,2.0
150000,1500.0B,1919395.1182457518,294,0.0,0.0,-0.04792998868245611,0.04792998868245611,1825790.0,2016023.0817369753,2.0
12000,75000.0B,1884525.31516462,28,0.0,0.0,-0.008125688976912822,0.008125688976912822,1768960.0,1899963.8303171613,2.0
37500,15000.0B,1821171.4154193115,147,0.013793103448275862,0.013793103448275862,-0.014910641180735845,0.014910641180735845,1685380.0,1848737.2735425564,2.0
1500,5625.0B,1603017.0197298885,117,0.008620689655172414,0.008620689655172414,0.0032384488168034453,0.0032384488168034453,1446600.0,1597842.4886132008,2.0
4500,7500.0B,1659129.2070365553,86,0.03614457831325301,0.03614457831325301,0.05725021765863332,0.05725021765863332,1449730.0,1569287.174715208,2.0
4500,75000.0B,1877634.433131285,28,0.0,0.0,-0.008514377645185084,0.008514377645185084,1757050.0,1893758.6090979655,2.0
12000,7500.0B,1270329.0784959693,113,0.008928571428571428,0.008928571428571428,0.06478105511187161,0.06478105511187161,1159590.0,1193042.5249372057,2.0
4500,150000.0B,1988848.1432982336,36,0.0,0.0,0.02633451945318821,0.02633451945318821,1817500.0,1937816.6724411205,2.0
150000,13125.0B,1865362.1622309485,407,0.0024630541871921183,0.0024630541871921183,-0.05857018350286916,0.05857018350286916,1796060.0,1981413.9403100512,2.0
37500,187500.0B,1819453.4525051815,41,0.4642857142857143,0.4642857142857143,-0.09803855936458515,0.09803855936458515,1908120.0,2017218.6642739526,2.0
37500,9375.0B,1373201.4693444716,135,0.0,0.0,-0.01302957354140624,0.01302957354140624,1258980.0,1391329.904657565,2.0
750,7500.0B,0.0,21,0.6153846153846154,0.6153846153846154,-1.0,1.0,77.8378,28784.648187633262,2.0
12000,300000.0B,1999757.2794356188,110,0.0,0.0,-0.0017472109336403759,0.0017472109336403759,2012950.0,2003257.3926549614,2.0
150000,7500.0B,1610039.978431222,439,0.0,0.0,-0.06557729195715185,0.06557729195715185,1566800.0,1723031.733468311,2.0
750,15000.0B,0.0,21,4.25,4.25,-1.0,1.0,77.8378,28784.648187633262,2.0
37500,11250.0B,1823819.48134659,179,0.011299435028248588,0.011299435028248588,-0.01765373189274845,0.01765373189274845,1683570.0,1856595.3173117437,2.0
37500,225000.0B,2000366.2134774884,61,0.0,0.0,-0.008301121240352722,0.008301121240352722,1919420.0,2017110.492228666,2.0
750,750.0B,1034.2860097960029,19,0.0,0.0,-0.996011030449633,0.996011030449633,730.09,259286.51415773478,2.0
4500,1500.0B,818957.9148348547,73,0.013888888888888888,0.013888888888888888,-0.004221869851038219,0.004221869851038219,743506.0,822430.1077111866,2.0
1500,15000.0B,1820269.1617964203,95,0.021505376344086023,0.021505376344086023,-0.001372046426938035,0.001372046426938035,1653530.0,1822770.0869813927,2.0
7500,150000.0B,1988848.1432982362,36,0.0,0.0,0.023889572558683382,0.023889572558683382,1821920.0,1942443.98673593,2.0
750,187500.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28784.648187633262,2.0
750,37500.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28784.648187633262,2.0
150000,1875.0B,1656053.9384809264,445,0.0,0.0,0.025208666360638964,0.025208666360638964,1600870.0,1615333.5343522879,2.0
7500,1875.0B,1448083.3540952606,136,0.030303030303030304,0.030303030303030304,0.003946510191952111,0.003946510191952111,1303960.0,1442390.943535817,2.0
37500,1500.0B,1537233.864865519,150,0.013513513513513514,0.013513513513513514,-0.014114534605514583,0.014114534605514583,1411620.0,1559241.8377427047,2.0
1500,375000.0B,1981956.1405814115,89,0.0,0.0,-0.006983250607378254,0.006983250607378254,2088780.0,1995893.9683481413,2.0
37500,300000.0B,1681951.1020859983,126,0.3695652173913043,0.3695652173913043,-0.16790231921976675,0.16790231921976675,2050950.0,2021338.5290401035,2.0
7500,13125.0B,1791170.9649884305,86,0.0,0.0,-0.008037753479387066,0.008037753479387066,1640410.0,1805684.6127673772,2.0
7500,225000.0B,1997552.9841151328,64,0.0,0.0,0.001588225933272155,0.001588225933272155,1898080.0,1994385.449423418,2.0
750,150000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28784.648187633262,2.0
1500,11250.0B,1609275.335661423,77,0.0,0.0,0.01728434864985986,0.01728434864985986,1435010.0,1581932.6600249514,2.0
1500,7500.0B,1385603.0928289208,69,0.014705882352941176,0.014705882352941176,0.07595360085261973,0.07595360085261973,1251260.0,1287790.7483472568,2.0
7500,750000.0B,0.0,0,0.0,0.0,1.0,1.0,2141050.0,2000035.1774420026,2.0
12000,15000.0B,1708951.1382846846,92,0.01098901098901099,0.01098901098901099,0.1381609770154662,0.1381609770154662,1362040.0,1501502.1361617655,2.0
12000,37500.0B,1983842.2656680369,79,0.01282051282051282,0.01282051282051282,-0.004216745014851669,0.004216745014851669,1819540.0,1992243.0466031737,2.0
1500,150000.0B,1988845.31862707,36,0.0,0.0,0.029525387889935934,0.029525387889935934,1811640.0,1931807.9398734483,2.0
150000,75000.0B,1928448.4872847095,317,0.009554140127388535,0.009554140127388535,-0.07047725628389491,0.07047725628389491,1931890.0,2074665.1981586115,2.0
7500,262500.0B,2001460.0692895711,85,0.0,0.0,0.002589846812033518,0.002589846812033518,1978680.0,1996289.9840385146,2.0
7500,750.0B,2921.1436917553406,19,0.0,0.0,-0.995777554778143,0.995777554778143,1920.0,691813.2831266636,2.0
12000,13125.0B,1845908.8465957404,101,0.052083333333333336,0.052083333333333336,-0.009669711503401873,0.009669711503401873,1691540.0,1863932.536485358,2.0
4500,262500.0B,2006084.317485463,85,0.0,0.0,0.006467801232305607,0.006467801232305607,1977510.0,1993192.7430060261,2.0
