burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate
150000,175000.0B,0.0,0,0.0,0.0,1.0,1.0,2000090.0,2101898.5104900594
150000,2500.0B,1659697.0836264424,318,0.0031545741324921135,0.0031545741324921135,-0.07039157239357338,0.07039157239357338,1613550.0,1785372.2431280683
7500,10000.0B,1624646.4190809897,80,0.03896103896103896,0.03896103896103896,-0.010018613059622854,0.010018613059622854,1487550.0,1641087.8431786476
37500,150000.0B,0.0,0,0.0,0.0,1.0,1.0,1918840.0,2016765.0663648774
750,250000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28628.23061630219
750,200000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28628.23061630219
7500,1500.0B,1246812.282391488,94,0.03296703296703297,0.03296703296703297,0.014151264153941455,0.014151264153941455,1114010.0,1229414.5128652428
7500,125000.0B,1809309.5547615527,17,0.7,0.7,-0.08997154418742638,0.08997154418742638,1897160.0,1988190.0870297533
37500,10000.0B,1653942.122260869,164,0.012345679012345678,0.012345679012345678,-0.03137631654548502,0.03137631654548502,1551260.0,1707517.7393579965
7500,5000.0B,1678882.373972406,99,0.0,0.0,0.0031837723547718517,0.0031837723547718517,1516790.0,1673554.1585083336
7500,1800.0B,1041040.7472455981,96,0.03225806451612903,0.03225806451612903,-0.005374817448453471,0.005374817448453471,949746.0,1046666.3880105872
150000,7500.0B,1628399.3056596166,306,0.003278688524590164,0.003278688524590164,-0.07249034534067227,0.07249034534067227,1591080.0,1755668.307579746
150000,200000.0B,0.0,0,0.0,0.0,1.0,1.0,2000090.0,2101898.5104900594
750,1800.0B,0.0,21,0.05,0.05,-1.0,1.0,77.8378,28628.23061630219
37500,5000.0B,1267215.9651959874,135,0.007462686567164179,0.007462686567164179,-0.0641051684728626,0.0641051684728626,1227470.0,1354015.3471391865
37500,500.0B,846.8598044165282,18,0.0,0.0,-0.9949364217436455,0.9949364217436455,611.892,167245.3276205954
7500,150000.0B,0.0,0,0.0,0.0,1.0,1.0,1897590.0,1993908.4506875593
150000,100000.0B,1833367.3899584115,57,0.16326530612244897,0.16326530612244897,-0.09389887598128671,0.09389887598128671,1916250.0,2023358.4766202627
37500,1500.0B,1739111.5632766131,223,0.032407407407407406,0.032407407407407406,0.0008131488684377705,0.0008131488684377705,1574750.0,1737698.5556623903
7500,500.0B,846.8598044165282,18,0.0,0.0,-0.9949364217436455,0.9949364217436455,611.892,167245.3276205954
750,150000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28628.23061630219
7500,200000.0B,0.0,0,0.0,0.0,1.0,1.0,1897590.0,1993908.4506875593
7500,500000.0B,0.0,0,0.0,0.0,1.0,1.0,1897590.0,1993908.4506875593
7500,175000.0B,0.0,0,0.0,0.0,1.0,1.0,1897590.0,1993908.4506875593
1500,2500.0B,480026.2967470686,55,0.0,0.0,0.0036327673629775637,0.0036327673629775637,433272.0,478288.7848593533
150000,250000.0B,0.0,0,0.0,0.0,1.0,1.0,2000090.0,2101898.5104900594
7500,7500.0B,1582378.027411119,76,0.013333333333333334,0.013333333333333334,0.006411965183458877,0.006411965183458877,1425060.0,1572296.5168867675
7500,50000.0B,1776355.4404078985,63,0.0,0.0,0.07582284683980965,0.07582284683980965,1511290.0,1651159.803517724
1500,175000.0B,0.0,0,0.0,0.0,1.0,1.0,1892250.0,1989369.5160135883
750,10000.0B,0.0,21,0.9090909090909091,0.9090909090909091,-1.0,1.0,77.8378,28628.23061630219
150000,1500.0B,1575947.8770431364,332,0.0,0.0,-0.022307527439000774,0.022307527439000774,1461590.0,1611905.5032867827
37500,500000.0B,0.0,0,0.0,0.0,1.0,1.0,1918840.0,2016765.0663648774
150000,5000.0B,1631223.7612039433,332,0.0030211480362537764,0.0030211480362537764,-0.07191147283307021,0.07191147283307021,1595710.0,1757616.5564543658
750,125000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28628.23061630219
7500,100000.0B,0.0,14,0.0,0.0,1.0,1.0,1640850.0,1771840.964884504
1500,200000.0B,0.0,0,0.0,0.0,1.0,1.0,1892250.0,1989369.5160135883
150000,150000.0B,0.0,0,0.0,0.0,1.0,1.0,2000090.0,2101898.5104900594
150000,50000.0B,1829572.7989109317,159,0.0,0.0,-0.06210949845529181,0.06210949845529181,1814450.0,1950731.7708171906
7500,2500.0B,1191428.637802566,67,0.0,0.0,-0.0012988558870352807,0.0012988558870352807,1081030.0,1192978.1444886394
