time,cwnd
0.120093,14480
0.141359,15928
0.142561,18824
0.143762,21720
0.153363,24616
0.17737,22548
0.183377,23375
0.189383,24203
0.195383,22134
0.201383,15928
1.21338,1448
1.23463,2896
1.25589,4344
1.25649,5792
1.27833,8688
1.29838,11584
1.32514,13032
1.35514,10136
1.36114,8688
1.40914,10136
1.46314,9557
1.46914,10426
1.47514,11295
1.48114,11005
1.48714,10716
1.49314,10426
1.49914,5792
1.49914,7240
1.52314,5792
1.52914,4344
1.54714,5792
1.58423,7240
1.64314,8688
1.70314,10136
1.75715,9557
1.76315,10426
1.76915,11295
1.77515,11005
1.78115,10716
1.78715,10426
1.79314,5792
1.79314,7240
1.81715,5792
1.82315,4344
1.84114,5792
1.87824,7240
1.93715,8688
1.99715,10136
2.05115,9557
2.05715,10426
2.06315,11295
2.06915,11005
2.07515,10716
2.08115,10426
2.08715,5792
2.08715,7240
2.11115,5792
2.11715,4344
2.13515,5792
2.17224,7240
2.23115,8688
2.29115,10136
2.34516,9557
2.35116,10426
2.35716,11295
2.36316,11005
2.36916,10716
2.37516,10426
2.38115,5792
2.38115,7240
2.40516,5792
2.41116,4344
2.42915,5792
2.46625,7240
2.52516,8688
2.58516,10136
2.63916,9557
2.64516,10426
2.65116,11295
2.65716,11005
2.66316,10716
2.66916,10426
2.67516,5792
2.67516,7240
2.69916,5792
2.70516,4344
2.72316,5792
2.76025,7240
2.81916,8688
2.87916,10136
2.93317,9557
2.93917,10426
2.94517,11295
2.95117,11005
2.95717,10716
2.96317,10426
2.96916,5792
2.96916,7240
2.99317,5792
2.99917,4344
3.01716,5792
3.05426,7240
3.11317,8688
3.17317,10136
3.22717,9557
3.23317,10426
3.23917,11295
3.24517,11005
3.25117,10716
3.25717,10426
3.26317,5792
3.26317,7240
3.28717,5792
3.29317,4344
3.31117,5792
3.34826,7240
3.40717,8688
3.46717,10136
3.52118,9557
3.52718,10426
3.53318,11295
3.53918,11005
3.54518,10716
3.55118,10426
3.55717,5792
3.55717,7240
3.58118,5792
3.58718,4344
3.60517,5792
3.64227,7240
3.70118,8688
3.76118,10136
3.81518,9557
3.82118,10426
3.82718,11295
3.83318,11005
3.83918,10716
3.84518,10426
3.85118,5792
3.85118,7240
3.87518,5792
3.88118,4344
3.89918,5792
3.93627,7240
3.99518,8688
4.05518,10136
4.10919,9557
4.11519,10426
4.12119,11295
4.12719,11005
4.13319,10716
4.13919,10426
4.14518,5792
4.14518,7240
4.16919,5792
4.17519,4344
4.19318,5792
4.23028,7240
4.28918,8688
4.34919,10136
4.40319,9557
4.40919,10426
4.41519,11295
4.42119,11005
4.42719,10716
4.43319,10426
4.43919,5792
4.43919,7240
4.46319,5792
4.46919,4344
4.48718,5792
4.52428,7240
4.58319,8688
4.64319,10136
4.6972,9557
4.7032,10426
4.7092,11295
4.7152,11005
4.7212,10716
4.7272,10426
4.73319,5792
4.73319,7240
4.7572,5792
4.7632,4344
4.78119,5792
4.81829,7240
4.87719,8688
4.9372,10136
4.9912,9557
4.9972,10426
5.0032,11295
5.0092,11005
5.0152,10716
5.0212,10426
5.0272,5792
5.0272,7240
5.0512,5792
5.0572,4344
5.07519,5792
5.11229,7240
5.1712,8688
5.2312,10136
5.28521,9557
5.29121,10426
5.29721,11295
5.30321,11005
5.30921,10716
5.31521,10426
5.3212,5792
5.3212,7240
5.34521,5792
5.35121,4344
5.3692,5792
5.4063,7240
5.4652,8688
5.5252,10136
5.57921,9557
5.58521,10426
5.59121,11295
5.59721,11005
5.60321,10716
5.60921,10426
5.6152,5792
5.6152,7240
5.63921,5792
5.64521,4344
5.6632,5792
5.7003,7240
5.75921,8688
5.81921,10136
5.87322,9557
5.87922,10426
5.88522,11295
5.89122,11005
5.89722,10716
5.90322,10426
5.90921,5792
5.90921,7240
5.93322,5792
5.93922,4344
5.95721,5792
5.97246,7240
6.06521,8688
6.12521,10136
6.17922,9557
6.18522,10426
6.19122,11295
6.19722,11005
6.20322,10716
6.20922,10426
6.21521,5792
6.21521,7240
6.23922,5792
6.24522,4344
6.26321,5792
6.30031,7240
6.35922,8688
6.41922,10136
6.47322,9557
6.47922,10426
6.48522,11295
6.49122,11005
6.49722,10716
6.50322,10426
6.50922,5792
6.50922,7240
6.53322,5792
6.53922,4344
6.55722,5792
6.59431,7240
6.65322,8688
6.71322,10136
6.76723,9557
6.77323,10426
6.77923,11295
6.78523,11005
6.79123,10716
6.79723,10426
6.80322,5792
6.80322,7240
6.82723,5792
6.83323,4344
6.85122,5792
6.88832,7240
6.94723,8688
7.00723,10136
7.06123,9557
7.06723,10426
7.07323,11295
7.07923,11005
7.08523,10716
7.09123,10426
7.09723,5792
7.09723,7240
7.12123,5792
7.12723,4344
7.14523,5792
7.18232,7240
7.24123,8688
7.30123,10136
7.35524,9557
7.36124,10426
7.36724,11295
7.37324,11005
7.37924,10716
7.38524,10426
7.39123,5792
7.39123,7240
7.41524,5792
7.42124,4344
7.43923,5792
7.47633,7240
7.53524,8688
7.59524,10136
7.64924,9557
7.65524,10426
7.66124,11295
7.66724,11005
7.67324,10716
7.67924,10426
7.68524,5792
7.68524,7240
7.70924,5792
7.71524,4344
7.73324,5792
7.77033,7240
7.82924,8688
7.88924,10136
7.94325,9557
7.94925,10426
7.95525,11295
7.96125,11005
7.96725,10716
7.97325,10426
7.97924,5792
