burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate
1500,5625.0B,1999999.999999924,62,0,0,0.7328560973751994,0.7328560973751994,1145330.0,1154163.9279968916
37500,225000.0B,2015164.279696254,0,0,0,-0.0007937397842321185,0.0007937397842321185,1918840.0,2016765.0663648774
1500,3750.0B,1999333.5554813372,57,0,0,0.7396783563000064,0.7396783563000064,1041970.0,1149254.7161037126
1500,11250.0B,1999999.999999924,64,0,0,0.040959891415518784,0.040959891415518784,1746970.0,1921303.6126495544
37500,150000.0B,2015164.279696254,0,0,0,-0.0007937397842321185,0.0007937397842321185,1918840.0,2016765.0663648774
7500,5625.0B,2464485.2354354938,98,0,0,0.5314152938089692,0.5314152938089692,1458260.0,1609286.0280282123
1500,750.0B,2080045.7050457057,19,0,0,3.1911281281002575,3.1911281281002575,1920.0,496297.3312840576
7500,75000.0B,1999999.9999999981,46,0,0,0.053585747159622596,0.053585747159622596,1837210.0,1898279.2861348283
7500,15000.0B,1999999.999999924,92,0,0,0.09063175595037427,0.09063175595037427,1669870.0,1833799.5286567905
150000,7500.0B,19540983.606671203,306,0,0,10.130225181093106,10.130225181093106,1591080.0,1755668.307579746
150000,1875.0B,19877719.930542346,334,0,0,10.111619883220252,10.111619883220252,1624450.0,1788912.880340683
750,187500.0B,6891.981444665342,21,0,0,-0.7592592592592592,0.7592592592592592,77.8378,28628.23061630219
7500,225000.0B,2000000.0000000722,0,0,0,0.0030550797407033945,0.0030550797407033945,1897590.0,1993908.4506875593
1500,15000.0B,1999999.999999924,72,0,0,0.22814249387271004,0.22814249387271004,1488550.0,1628475.5311196102
37500,262500.0B,2015164.279696254,0,0,0,-0.0007937397842321185,0.0007937397842321185,1918840.0,2016765.0663648774
1500,262500.0B,2000000.0000000722,0,0,0,0.00534364475825781,0.00534364475825781,1892250.0,1989369.5160135883
1500,750000.0B,2000000.0000000722,0,0,0,0.00534364475825781,0.00534364475825781,1892250.0,1989369.5160135883
